ID: flvm-6
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605987267.8350725
[trace] LossFuncSend recv COORD 1605987267.8441713
[trace] ModelConfigSend recv COORD 1605987267.845827
[trace] LocalTraining duration flvm-6 42.07915687561035
[trace] SendShare_38696846933 start flvm-2 1605987309.9298935
[trace] SendShare_38696846933 end flvm-2 1605987309.9374778
[trace] SendShare_43133103524 start flvm-3 1605987309.9374921
[trace] SendShare_43133103524 end flvm-3 1605987310.8367183
[trace] SendShare_39927036873 start flvm-4 1605987310.8367388
[trace] SendShare_39927036873 end flvm-4 1605987310.8455703
[trace] SendShare_45005005947 start flvm-5 1605987310.845611
[trace] SendShare_45005005947 end flvm-5 1605987310.85032
[trace] SendShare_87536531832 start flvm-6 1605987310.8503551
[trace] GetShare_87536531832 recv flvm-6 1605987310.8508992
[trace] SendShare_87536531832 end flvm-6 1605987310.8509552
[trace] SendShare_85486753725 start flvm-7 1605987310.8509638
[trace] GetShare_44203824807 recv flvm-3 1605987310.8544865
[trace] GetShare_53779715876 recv flvm-4 1605987310.858847
[trace] SendShare_85486753725 end flvm-7 1605987310.8590064
[trace] EncryptParameter0 duration flvm-6 0.9296364784240723
[trace] GetShare_1086679438 recv flvm-5 1605987310.8611767
[trace] GetShare_43272135136 recv flvm-2 1605987310.8630068
[trace] GetShare_76259421462 recv flvm-7 1605987310.8651502
[trace] MultiplyParameter0 duration flvm-6 0.010100364685058594
[trace] SendShare_4419708184 start flvm-2 1605987310.8696449
[trace] SendShare_4419708184 end flvm-2 1605987310.871111
[trace] SendShare_64300738555 start flvm-3 1605987310.8711472
[trace] SendShare_64300738555 end flvm-3 1605987310.8723757
[trace] SendShare_75959826863 start flvm-4 1605987310.872387
[trace] GetShare_97503085232 recv flvm-3 1605987310.8729775
[trace] GetShare_58809870469 recv flvm-4 1605987310.8733256
[trace] SendShare_75959826863 end flvm-4 1605987310.8734794
[trace] SendShare_51544341474 start flvm-5 1605987310.8734891
[trace] SendShare_51544341474 end flvm-5 1605987310.8748891
[trace] SendShare_79292668914 start flvm-6 1605987310.8749232
[trace] GetShare_79292668914 recv flvm-6 1605987310.8754516
[trace] SendShare_79292668914 end flvm-6 1605987310.8755026
[trace] SendShare_57705823930 start flvm-7 1605987310.8755105
[trace] SendShare_57705823930 end flvm-7 1605987310.877019
[trace] EncryptParameter1 duration flvm-6 0.007609844207763672
[trace] GetShare_38250626085 recv flvm-5 1605987310.8788345
[trace] GetShare_22114627800 recv flvm-2 1605987310.8791885
[trace] MultiplyParameter1 duration flvm-6 0.007066965103149414
[trace] SendShare_34063532486 start flvm-2 1605987310.8941565
[trace] GetShare_62460758701 recv flvm-7 1605987310.8995225
[trace] SendShare_34063532486 end flvm-2 1605987311.0863247
[trace] SendShare_46165695767 start flvm-3 1605987311.086361
[trace] SendShare_46165695767 end flvm-3 1605987311.1912417
[trace] SendShare_71316521010 start flvm-4 1605987311.1912775
[trace] SendShare_71316521010 end flvm-4 1605987311.2890105
[trace] SendShare_67274969763 start flvm-5 1605987311.2890453
[trace] GetShare_84822312717 recv flvm-3 1605987311.4032779
[trace] GetShare_32866296679 recv flvm-4 1605987311.5111113
[trace] SendShare_67274969763 end flvm-5 1605987311.5113006
[trace] SendShare_67444220417 start flvm-6 1605987311.5113103
[trace] GetShare_67444220417 recv flvm-6 1605987311.5127208
[trace] SendShare_67444220417 end flvm-6 1605987311.5127861
[trace] SendShare_4806889175 start flvm-7 1605987311.5127947
[trace] SendShare_4806889175 end flvm-7 1605987311.6133657
[trace] EncryptParameter2 duration flvm-6 0.7282099723815918
[trace] GetShare_11216968102 recv flvm-2 1605987311.8019898
[trace] MultiplyParameter2 duration flvm-6 0.19308018684387207
[trace] SendShare_82091486545 start flvm-2 1605987311.8081095
[trace] SendShare_82091486545 end flvm-2 1605987311.809687
[trace] SendShare_11391588325 start flvm-3 1605987311.8097403
[trace] SendShare_11391588325 end flvm-3 1605987311.812099
[trace] SendShare_92140268189 start flvm-4 1605987311.8121285
[trace] SendShare_92140268189 end flvm-4 1605987311.813454
[trace] SendShare_47940783800 start flvm-5 1605987311.813486
[trace] SendShare_47940783800 end flvm-5 1605987311.9103756
[trace] SendShare_58364553190 start flvm-6 1605987311.910389
[trace] GetShare_58364553190 recv flvm-6 1605987311.9106686
[trace] SendShare_58364553190 end flvm-6 1605987311.9107318
[trace] SendShare_76569256135 start flvm-7 1605987311.9107404
[trace] SendShare_76569256135 end flvm-7 1605987311.91193
[trace] EncryptParameter3 duration flvm-6 0.1052999496459961
[trace] GetShare_29910625975 recv flvm-7 1605987312.0124834
[trace] GetShare_30009554490 recv flvm-3 1605987312.013028
[trace] GetShare_22599164234 recv flvm-2 1605987312.0134802
[trace] GetShare_82248534998 recv flvm-4 1605987312.0139222
[trace] GetShare_70864857752 recv flvm-5 1605987312.1399202
[trace] MultiplyParameter3 duration flvm-6 0.23012351989746094
[trace] SendShare_57291688499 start flvm-2 1605987312.2146301
[trace] GetShare_90290650672 recv flvm-7 1605987312.2526288
[trace] SendShare_57291688499 end flvm-2 1605987312.869638
[trace] SendShare_26863915282 start flvm-3 1605987312.8696575
[trace] SendShare_26863915282 end flvm-3 1605987313.4844816
[trace] SendShare_55918310445 start flvm-4 1605987313.4844997
[trace] GetShare_6599784642 recv flvm-5 1605987313.4980047
[trace] SendShare_55918310445 end flvm-4 1605987314.0684564
[trace] SendShare_11100783433 start flvm-5 1605987314.0684981
[trace] SendShare_11100783433 end flvm-5 1605987314.6776714
[trace] SendShare_5571763456 start flvm-6 1605987314.6776927
[trace] GetShare_5571763456 recv flvm-6 1605987314.6871712
[trace] SendShare_5571763456 end flvm-6 1605987314.6872823
[trace] SendShare_366050842 start flvm-7 1605987314.687292
[trace] SendShare_366050842 end flvm-7 1605987315.2771173
[trace] EncryptParameter4 duration flvm-6 3.133237600326538
[trace] GetShare_76861702045 recv flvm-3 1605987315.9015317
[trace] MultiplyParameter4 duration flvm-6 0.6284294128417969
[trace] SendShare_43268327046 start flvm-2 1605987315.906107
[trace] SendShare_43268327046 end flvm-2 1605987315.9916084
[trace] SendShare_72395142758 start flvm-3 1605987315.9916253
[trace] GetShare_23156362183 recv flvm-2 1605987316.6163568
[trace] SendShare_72395142758 end flvm-3 1605987316.616693
[trace] SendShare_22629977430 start flvm-4 1605987316.6167135
[trace] SendShare_22629977430 end flvm-4 1605987316.620273
[trace] SendShare_74924968178 start flvm-5 1605987316.6202862
[trace] SendShare_74924968178 end flvm-5 1605987316.624352
[trace] SendShare_89525232965 start flvm-6 1605987316.6243637
[trace] GetShare_89525232965 recv flvm-6 1605987316.6247272
[trace] SendShare_89525232965 end flvm-6 1605987316.6247842
[trace] SendShare_60941542258 start flvm-7 1605987316.6247923
[trace] SendShare_60941542258 end flvm-7 1605987317.0663013
[trace] EncryptParameter5 duration flvm-6 1.1605298519134521
[trace] GetShare_29869627760 recv flvm-7 1605987317.6814804
[trace] GetShare_14550872777 recv flvm-4 1605987318.271782
[trace] GetShare_4754557495 recv flvm-3 1605987318.2744
[trace] MultiplyParameter5 duration flvm-6 1.208219051361084
[trace] SendShare_76094760798 start flvm-2 1605987318.3614578
[trace] GetShare_63726972050 recv flvm-5 1605987319.0284278
[trace] GetShare_86905079254 recv flvm-7 1605987319.02933
[trace] SendShare_76094760798 end flvm-2 1605987319.187002
[trace] SendShare_36896714790 start flvm-3 1605987319.187044
[trace] GetShare_37178745140 recv flvm-2 1605987319.2127955
[trace] SendShare_36896714790 end flvm-3 1605987319.9483852
[trace] SendShare_26881045825 start flvm-4 1605987319.9484024
[trace] SendShare_26881045825 end flvm-4 1605987320.7182934
[trace] SendShare_20835348345 start flvm-5 1605987320.7183113
[trace] SendShare_20835348345 end flvm-5 1605987321.5437741
[trace] SendShare_23070111666 start flvm-6 1605987321.543796
[trace] GetShare_23070111666 recv flvm-6 1605987321.5567737
[trace] SendShare_23070111666 end flvm-6 1605987321.5568967
[trace] SendShare_46317864224 start flvm-7 1605987321.5569074
[trace] GetShare_5939796172 recv flvm-4 1605987321.576782
[trace] GetShare_86742856252 recv flvm-5 1605987321.6271696
[trace] SendShare_46317864224 end flvm-7 1605987322.3303359
[trace] EncryptParameter6 duration flvm-6 4.053334951400757
[trace] GetShare_56124943983 recv flvm-3 1605987323.2865882
[trace] MultiplyParameter6 duration flvm-6 1.7946302890777588
[trace] SendShare_42987612016 start flvm-2 1605987324.125684
[trace] SendShare_42987612016 end flvm-2 1605987324.1294057
[trace] SendShare_92589024485 start flvm-3 1605987324.1294203
[trace] SendShare_92589024485 end flvm-3 1605987324.1313992
[trace] SendShare_89474153184 start flvm-4 1605987324.1314106
[trace] SendShare_89474153184 end flvm-4 1605987324.1341038
[trace] SendShare_73257544711 start flvm-5 1605987324.1341429
[trace] GetShare_62467532686 recv flvm-7 1605987324.9325492
[trace] SendShare_73257544711 end flvm-5 1605987324.9339316
[trace] SendShare_50427923159 start flvm-6 1605987324.9339442
[trace] GetShare_50427923159 recv flvm-6 1605987324.934342
[trace] SendShare_50427923159 end flvm-6 1605987324.934401
[trace] SendShare_46913719874 start flvm-7 1605987324.934409
[trace] SendShare_46913719874 end flvm-7 1605987324.9543002
[trace] EncryptParameter7 duration flvm-6 0.82887864112854
[trace] GetShare_92144815866 recv flvm-3 1605987325.0656047
[trace] MultiplyParameter7 duration flvm-6 0.11463189125061035
[trace] SendShare_75884562022 start flvm-2 1605987325.1158473
[trace] GetShare_30084591714 recv flvm-7 1605987325.8499007
[trace] SendShare_75884562022 end flvm-2 1605987326.31782
[trace] SendShare_35591162425 start flvm-3 1605987326.317835
[trace] GetShare_43924927027 recv flvm-2 1605987327.1127405
[trace] GetShare_52495308028 recv flvm-4 1605987328.189944
[trace] SendShare_35591162425 end flvm-3 1605987328.1913095
[trace] SendShare_34002065508 start flvm-4 1605987328.1913238
[trace] GetShare_14377355947 recv flvm-5 1605987328.9902613
[trace] GetShare_24237145776 recv flvm-2 1605987328.990992
[trace] GetShare_22010281428 recv flvm-3 1605987329.5335634
[trace] SendShare_34002065508 end flvm-4 1605987329.9922838
[trace] SendShare_85252087933 start flvm-5 1605987329.9923048
[trace] SendShare_85252087933 end flvm-5 1605987330.5361834
[trace] SendShare_33852422385 start flvm-6 1605987330.5362048
[trace] GetShare_33852422385 recv flvm-6 1605987330.5442183
[trace] SendShare_33852422385 end flvm-6 1605987330.5443246
[trace] SendShare_28127158377 start flvm-7 1605987330.5443347
[trace] GetShare_93130138916 recv flvm-4 1605987330.876697
[trace] SendShare_28127158377 end flvm-7 1605987331.059603
[trace] EncryptParameter8 duration flvm-6 5.988794326782227
[trace] GetShare_75758561455 recv flvm-3 1605987331.0671048
[trace] GetShare_11604840695 recv flvm-7 1605987331.6023717
[trace] GetShare_24392221758 recv flvm-5 1605987331.612725
[trace] MultiplyParameter8 duration flvm-6 0.5539164543151855
[trace] SendShare_82150831232 start flvm-2 1605987331.6139479
[trace] SendShare_82150831232 end flvm-2 1605987331.6249163
[trace] SendShare_64845680232 start flvm-3 1605987331.6249287
[trace] GetShare_96820530040 recv flvm-2 1605987332.1472824
[trace] SendShare_64845680232 end flvm-3 1605987333.0242252
[trace] SendShare_77179735445 start flvm-4 1605987333.0242457
[trace] SendShare_77179735445 end flvm-4 1605987333.0506501
[trace] SendShare_50931317455 start flvm-5 1605987333.0506637
[trace] SendShare_50931317455 end flvm-5 1605987333.053555
[trace] SendShare_23557039330 start flvm-6 1605987333.0535665
[trace] GetShare_23557039330 recv flvm-6 1605987333.0539143
[trace] SendShare_23557039330 end flvm-6 1605987333.053976
[trace] SendShare_26229747538 start flvm-7 1605987333.0539842
[trace] SendShare_26229747538 end flvm-7 1605987333.0564358
[trace] EncryptParameter9 duration flvm-6 1.4427061080932617
[trace] GetShare_22859754488 recv flvm-4 1605987334.2265868
[trace] GetShare_45509708400 recv flvm-2 1605987337.5695758
[trace] MultiplyParameter9 duration flvm-6 4.513420820236206
[trace] SendShare_76158132440 start flvm-2 1605987337.9916165
[trace] GetShare_72447573238 recv flvm-7 1605987338.335552
[trace] SendShare_76158132440 end flvm-2 1605987342.038148
[trace] SendShare_94423266667 start flvm-3 1605987342.0381672
[trace] GetShare_37166979604 recv flvm-4 1605987345.4685028
[trace] GetShare_21441586136 recv flvm-5 1605987346.0263143
[trace] SendShare_94423266667 end flvm-3 1605987346.0275776
[trace] SendShare_39152497871 start flvm-4 1605987346.0275922
[trace] GetShare_77153671930 recv flvm-3 1605987350.1368923
[trace] SendShare_39152497871 end flvm-4 1605987450.9103558
[trace] SendShare_40824067322 start flvm-5 1605987450.9103773
[trace] SendShare_40824067322 end flvm-5 1605987455.1029077
[trace] SendShare_53986577652 start flvm-6 1605987455.10293
[trace] GetShare_53986577652 recv flvm-6 1605987455.3657496
[trace] SendShare_53986577652 end flvm-6 1605987455.3667603
[trace] SendShare_91236610358 start flvm-7 1605987455.366776
[trace] GetShare_20910564080 recv flvm-3 1605987455.7246647
[trace] GetShare_90478730575 recv flvm-5 1605987458.9366055
[trace] SendShare_91236610358 end flvm-7 1605987459.6474993
[trace] EncryptParameter10 duration flvm-6 122.06879234313965
[trace] GetShare_48736783083 recv flvm-7 1605987463.8026392
[trace] GetShare_88008111548 recv flvm-2 1605987467.6656976
[trace] GetShare_65389331917 recv flvm-4 1605987475.4442842
[trace] MultiplyParameter10 duration flvm-6 15.79100251197815
[trace] SendShare_28802531955 start flvm-2 1605987475.4457643
[trace] SendShare_28802531955 end flvm-2 1605987486.9601185
[trace] SendShare_3192150752 start flvm-3 1605987486.9601393
[trace] SendShare_3192150752 end flvm-3 1605987491.5697715
[trace] SendShare_77304215345 start flvm-4 1605987491.5697923
[trace] SendShare_77304215345 end flvm-4 1605987506.1627588
[trace] SendShare_56175841973 start flvm-5 1605987506.1628032
[trace] SendShare_56175841973 end flvm-5 1605987506.1743429
[trace] SendShare_9946597713 start flvm-6 1605987506.1743593
[trace] GetShare_9946597713 recv flvm-6 1605987506.1748533
[trace] SendShare_9946597713 end flvm-6 1605987506.174929
[trace] SendShare_12819036260 start flvm-7 1605987506.1749413
[trace] GetShare_42167212080 recv flvm-7 1605987506.1794198
[trace] SendShare_12819036260 end flvm-7 1605987506.1956027
[trace] EncryptParameter11 duration flvm-6 30.750554084777832
[trace] GetShare_44199321071 recv flvm-2 1605987506.206379
[trace] GetShare_86014762154 recv flvm-4 1605987524.5618832
[trace] MultiplyParameter11 duration flvm-6 18.366753578186035
[trace] SendShare_70667556062 start flvm-2 1605987526.2606406
[trace] GetShare_35150919218 recv flvm-5 1605987531.8225327
[trace] GetShare_22612072709 recv flvm-3 1605987561.2685492
[trace] SendShare_70667556062 end flvm-2 1605987577.022306
[trace] SendShare_92673712256 start flvm-3 1605987577.022339
[trace] SendShare_92673712256 end flvm-3 1605987595.118457
[trace] SendShare_46376247218 start flvm-4 1605987595.1184978
[trace] GetShare_4444044488 recv flvm-5 1605987596.679654
[trace] GetShare_60215539398 recv flvm-2 1605987613.7079926
[trace] GetShare_83522699330 recv flvm-7 1605987630.3828855
[trace] GetShare_90008962278 recv flvm-3 1605987630.3878338
[trace] SendShare_46376247218 end flvm-4 1605987646.1206744
[trace] SendShare_83307481972 start flvm-5 1605987646.1206968
[trace] GetShare_41389517048 recv flvm-3 1605987648.7458298
[trace] GetShare_75676703745 recv flvm-4 1605987665.2528834
[trace] GetShare_72152350154 recv flvm-2 1605987665.2578914
[trace] GetShare_77210307155 recv flvm-7 1605987665.261853
[trace] SendShare_83307481972 end flvm-5 1605987665.2654462
[trace] SendShare_38719607793 start flvm-6 1605987665.2654598
[trace] GetShare_38719607793 recv flvm-6 1605987666.2786512
[trace] SendShare_38719607793 end flvm-6 1605987666.282138
[trace] SendShare_85852818621 start flvm-7 1605987666.2821553
[trace] GetShare_32080577647 recv flvm-3 1605987685.0523486
[trace] GetShare_81578104120 recv flvm-2 1605987685.090388
[trace] SendShare_85852818621 end flvm-7 1605987697.675949
[trace] EncryptParameter12 duration flvm-6 173.06472301483154
[trace] GetShare_35202822075 recv flvm-7 1605987697.7473316
[trace] GetShare_62130034679 recv flvm-5 1605987719.6449943
[trace] GetShare_81019871339 recv flvm-4 1605987719.6749175
[trace] MultiplyParameter12 duration flvm-6 22.002511501312256
[trace] SendShare_18533464296 start flvm-2 1605987719.7048392
[trace] SendShare_18533464296 end flvm-2 1605987719.7124472
[trace] SendShare_6300546263 start flvm-3 1605987719.7124832
[trace] SendShare_6300546263 end flvm-3 1605987719.7184665
[trace] SendShare_50303807958 start flvm-4 1605987719.7184827
[trace] SendShare_50303807958 end flvm-4 1605987719.7248402
[trace] SendShare_49565382 start flvm-5 1605987719.7248523
[trace] SendShare_49565382 end flvm-5 1605987722.4434264
[trace] SendShare_95870884933 start flvm-6 1605987722.4434745
[trace] GetShare_95870884933 recv flvm-6 1605987722.4440758
