ID: flvm-7
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605987268.0878356
[trace] LossFuncSend recv COORD 1605987268.0963776
[trace] ModelConfigSend recv COORD 1605987268.097894
[trace] LocalTraining duration flvm-7 29.60734748840332
[trace] SendShare_50784194484 start flvm-2 1605987297.7089021
[trace] SendShare_50784194484 end flvm-2 1605987300.5846226
[trace] SendShare_51796635742 start flvm-3 1605987300.5846686
[trace] SendShare_51796635742 end flvm-3 1605987310.8407319
[trace] SendShare_17490131280 start flvm-4 1605987310.840776
[trace] SendShare_17490131280 end flvm-4 1605987310.8499355
[trace] SendShare_96082910971 start flvm-5 1605987310.8500023
[trace] GetShare_85486753725 recv flvm-6 1605987310.8565576
[trace] GetShare_61052662553 recv flvm-3 1605987310.859423
[trace] SendShare_96082910971 end flvm-5 1605987310.8596487
[trace] SendShare_76259421462 start flvm-6 1605987310.8596632
[trace] GetShare_92039371593 recv flvm-4 1605987310.8619058
[trace] GetShare_66977171188 recv flvm-5 1605987310.8651981
[trace] GetShare_38332092926 recv flvm-2 1605987310.8669987
[trace] SendShare_76259421462 end flvm-6 1605987310.8678238
[trace] SendShare_61479438107 start flvm-7 1605987310.8678343
[trace] GetShare_61479438107 recv flvm-7 1605987310.8681273
[trace] SendShare_61479438107 end flvm-7 1605987310.8681881
[trace] EncryptParameter0 duration flvm-7 13.159907102584839
[trace] GetShare_18868891921 recv flvm-3 1605987310.8744564
[trace] GetShare_67075983423 recv flvm-4 1605987310.8747883
[trace] GetShare_57705823930 recv flvm-6 1605987310.8767946
[trace] MultiplyParameter0 duration flvm-7 0.008996725082397461
[trace] SendShare_19803086386 start flvm-2 1605987310.8775249
[trace] SendShare_19803086386 end flvm-2 1605987310.8793633
[trace] SendShare_33979929513 start flvm-3 1605987310.8793747
[trace] GetShare_72890752205 recv flvm-2 1605987310.8808634
[trace] GetShare_79278916308 recv flvm-5 1605987310.8811903
[trace] SendShare_33979929513 end flvm-3 1605987310.8930063
[trace] SendShare_18694003831 start flvm-4 1605987310.8930442
[trace] SendShare_18694003831 end flvm-4 1605987310.8972673
[trace] SendShare_46546392793 start flvm-5 1605987310.8973026
[trace] SendShare_46546392793 end flvm-5 1605987310.8986025
[trace] SendShare_62460758701 start flvm-6 1605987310.898636
[trace] SendShare_62460758701 end flvm-6 1605987310.8999898
