ID: flvm-2
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605987267.6305726
[trace] LossFuncSend recv COORD 1605987267.642424
[trace] ModelConfigSend recv COORD 1605987267.6435962
[trace] LocalTraining duration flvm-2 32.930118799209595
[trace] SendShare_87482715580 start flvm-2 1605987300.577256
[trace] GetShare_87482715580 recv flvm-2 1605987300.57783
[trace] SendShare_87482715580 end flvm-2 1605987300.5779233
[trace] SendShare_56016124512 start flvm-3 1605987300.5779328
[trace] GetShare_60895963337 recv flvm-4 1605987300.5812485
[trace] GetShare_50784194484 recv flvm-7 1605987300.5831332
[trace] GetShare_99877466479 recv flvm-5 1605987302.842145
[trace] GetShare_38696846933 recv flvm-6 1605987309.93676
[trace] GetShare_95538499921 recv flvm-3 1605987310.8390362
[trace] SendShare_56016124512 end flvm-3 1605987310.843276
[trace] SendShare_46470789062 start flvm-4 1605987310.8433278
[trace] SendShare_46470789062 end flvm-4 1605987310.8541417
[trace] SendShare_88910916805 start flvm-5 1605987310.8541641
[trace] SendShare_88910916805 end flvm-5 1605987310.8576753
[trace] SendShare_43272135136 start flvm-6 1605987310.857687
[trace] SendShare_43272135136 end flvm-6 1605987310.8634675
[trace] SendShare_38332092926 start flvm-7 1605987310.8634799
[trace] SendShare_38332092926 end flvm-7 1605987310.8667276
[trace] EncryptParameter0 duration flvm-2 10.289978981018066
[trace] GetShare_35553891785 recv flvm-3 1605987310.869268
[trace] GetShare_22660684186 recv flvm-4 1605987310.8696175
[trace] GetShare_4419708184 recv flvm-6 1605987310.8703532
[trace] MultiplyParameter0 duration flvm-2 0.006533145904541016
[trace] SendShare_64910217255 start flvm-2 1605987310.8738227
[trace] GetShare_64910217255 recv flvm-2 1605987310.8743267
[trace] SendShare_64910217255 end flvm-2 1605987310.8743808
[trace] SendShare_86566084858 start flvm-3 1605987310.874389
[trace] GetShare_2997545798 recv flvm-5 1605987310.8751984
[trace] SendShare_86566084858 end flvm-3 1605987310.875367
[trace] SendShare_28208545563 start flvm-4 1605987310.8753772
[trace] SendShare_28208545563 end flvm-4 1605987310.8765674
[trace] SendShare_31341409580 start flvm-5 1605987310.8766
[trace] SendShare_31341409580 end flvm-5 1605987310.8780403
[trace] SendShare_22114627800 start flvm-6 1605987310.878051
[trace] GetShare_19803086386 recv flvm-7 1605987310.8786101
[trace] SendShare_22114627800 end flvm-6 1605987310.8794022
[trace] SendShare_72890752205 start flvm-7 1605987310.8794348
[trace] SendShare_72890752205 end flvm-7 1605987310.8807578
[trace] EncryptParameter1 duration flvm-2 0.007180929183959961
[trace] GetShare_7209111661 recv flvm-3 1605987310.9865513
[trace] GetShare_34063532486 recv flvm-6 1605987311.085334
[trace] GetShare_39019822408 recv flvm-4 1605987311.182272
[trace] GetShare_16794089755 recv flvm-5 1605987311.2798836
[trace] MultiplyParameter1 duration flvm-2 0.39936232566833496
[trace] SendShare_72876401154 start flvm-2 1605987311.2918608
[trace] GetShare_72876401154 recv flvm-2 1605987311.2935352
[trace] SendShare_72876401154 end flvm-2 1605987311.293624
[trace] SendShare_32049115992 start flvm-3 1605987311.2936327
[trace] GetShare_3295833405 recv flvm-7 1605987311.3929253
[trace] SendShare_32049115992 end flvm-3 1605987311.4884403
[trace] SendShare_14152771117 start flvm-4 1605987311.488477
[trace] SendShare_14152771117 end flvm-4 1605987311.591839
[trace] SendShare_20333675017 start flvm-5 1605987311.5918713
[trace] SendShare_20333675017 end flvm-5 1605987311.6999376
[trace] SendShare_11216968102 start flvm-6 1605987311.699973
[trace] SendShare_11216968102 end flvm-6 1605987311.8020887
[trace] SendShare_87434426115 start flvm-7 1605987311.8021169
[trace] GetShare_82091486545 recv flvm-6 1605987311.8089094
[trace] SendShare_87434426115 end flvm-7 1605987311.9016073
[trace] EncryptParameter2 duration flvm-2 0.6187582015991211
[trace] GetShare_40516900269 recv flvm-4 1605987311.9051354
[trace] MultiplyParameter2 duration flvm-2 0.010784149169921875
[trace] SendShare_90113369927 start flvm-2 1605987311.9129038
[trace] GetShare_90113369927 recv flvm-2 1605987311.9132755
[trace] SendShare_90113369927 end flvm-2 1605987311.9133384
[trace] SendShare_55047198133 start flvm-3 1605987311.9133472
[trace] GetShare_56436523736 recv flvm-3 1605987311.9146743
[trace] SendShare_55047198133 end flvm-3 1605987311.915018
[trace] SendShare_58743738136 start flvm-4 1605987311.9150288
[trace] SendShare_58743738136 end flvm-4 1605987311.9160576
[trace] SendShare_47028387417 start flvm-5 1605987311.9160683
[trace] SendShare_47028387417 end flvm-5 1605987311.917145
[trace] SendShare_22599164234 start flvm-6 1605987311.9171555
[trace] SendShare_22599164234 end flvm-6 1605987312.013794
[trace] SendShare_34134125265 start flvm-7 1605987312.0138295
[trace] SendShare_34134125265 end flvm-7 1605987312.022801
[trace] EncryptParameter3 duration flvm-2 0.1101675033569336
[trace] GetShare_55435543955 recv flvm-7 1605987312.1440787
[trace] MultiplyParameter3 duration flvm-2 0.12167954444885254
[trace] SendShare_32357898941 start flvm-2 1605987312.2207904
[trace] GetShare_32357898941 recv flvm-2 1605987312.237514
[trace] SendShare_32357898941 end flvm-2 1605987312.237631
[trace] SendShare_34078008291 start flvm-3 1605987312.2376409
[trace] GetShare_57291688499 recv flvm-6 1605987312.8685575
[trace] SendShare_34078008291 end flvm-3 1605987312.8695016
[trace] SendShare_5785216228 start flvm-4 1605987312.8695197
[trace] GetShare_68565128147 recv flvm-5 1605987312.8954213
[trace] GetShare_72077964217 recv flvm-3 1605987313.4938493
[trace] GetShare_57573205196 recv flvm-4 1605987314.0845983
[trace] GetShare_24408575494 recv flvm-7 1605987314.684958
[trace] SendShare_5785216228 end flvm-4 1605987315.2223704
[trace] SendShare_98863198735 start flvm-5 1605987315.2224212
[trace] GetShare_36143379848 recv flvm-5 1605987315.989479
[trace] GetShare_43268327046 recv flvm-6 1605987315.990544
[trace] SendShare_98863198735 end flvm-5 1605987316.003892
[trace] SendShare_23156362183 start flvm-6 1605987316.0039089
[trace] SendShare_23156362183 end flvm-6 1605987316.617208
[trace] SendShare_70442659727 start flvm-7 1605987316.6172624
[trace] SendShare_70442659727 end flvm-7 1605987317.6440206
[trace] EncryptParameter4 duration flvm-2 5.492691516876221
[trace] GetShare_57613757407 recv flvm-3 1605987317.8017216
[trace] GetShare_88704233339 recv flvm-7 1605987318.2797
[trace] MultiplyParameter4 duration flvm-2 0.638282299041748
[trace] SendShare_79591888712 start flvm-2 1605987318.2847195
[trace] GetShare_79591888712 recv flvm-2 1605987318.285155
[trace] SendShare_79591888712 end flvm-2 1605987318.2852209
