Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to ./data/MNIST/raw/train-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/train-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to ./data/MNIST/raw/train-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/train-labels-idx1-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw/t10k-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw
Processing...
Done!
[PROF] NR_DATA number alice 24754
[PROF] FetchBatch duration alice 0.008872509002685547
[PROF] CompBatch duration alice 0.012002706527709961
[PROF] FetchBatch duration alice 0.008906841278076172
[PROF] CompBatch duration alice 0.01179361343383789
[PROF] FetchBatch duration alice 0.009041309356689453
[PROF] CompBatch duration alice 0.012467145919799805
[PROF] FetchBatch duration alice 0.009161949157714844
[PROF] CompBatch duration alice 0.01263117790222168
[PROF] FetchBatch duration alice 0.008974313735961914
[PROF] CompBatch duration alice 0.011992692947387695
[PROF] FetchBatch duration alice 0.014634370803833008
[PROF] CompBatch duration alice 0.015173673629760742
[PROF] FetchBatch duration alice 0.008817434310913086
[PROF] CompBatch duration alice 0.013033151626586914
[PROF] FetchBatch duration alice 0.009004831314086914
[PROF] CompBatch duration alice 0.011527299880981445
[PROF] FetchBatch duration alice 0.008646011352539062
[PROF] CompBatch duration alice 0.011755943298339844
[PROF] FetchBatch duration alice 0.008920907974243164
[PROF] CompBatch duration alice 0.011722326278686523
[PROF] FetchBatch duration alice 0.008678913116455078
[PROF] CompBatch duration alice 0.011553049087524414
[PROF] FetchBatch duration alice 0.009231090545654297
[PROF] CompBatch duration alice 0.012905597686767578
[PROF] FetchBatch duration alice 0.00922536849975586
[PROF] CompBatch duration alice 0.012380123138427734
[PROF] FetchBatch duration alice 0.009068727493286133
[PROF] CompBatch duration alice 0.013063907623291016
[PROF] FetchBatch duration alice 0.009126663208007812
[PROF] CompBatch duration alice 0.013789653778076172
[PROF] FetchBatch duration alice 0.009396553039550781
[PROF] CompBatch duration alice 0.01352834701538086
[PROF] FetchBatch duration alice 0.00889134407043457
[PROF] CompBatch duration alice 0.012455224990844727
[PROF] FetchBatch duration alice 0.009461402893066406
[PROF] CompBatch duration alice 0.012511253356933594
[PROF] FetchBatch duration alice 0.00889730453491211
[PROF] CompBatch duration alice 0.011829614639282227
[PROF] FetchBatch duration alice 0.009475231170654297
[PROF] CompBatch duration alice 0.013556957244873047
[PROF] FetchBatch duration alice 0.011151790618896484
[PROF] CompBatch duration alice 0.012543678283691406
[PROF] FetchBatch duration alice 0.009167194366455078
[PROF] CompBatch duration alice 0.012555122375488281
[PROF] FetchBatch duration alice 0.009191274642944336
[PROF] CompBatch duration alice 0.014404535293579102
[PROF] FetchBatch duration alice 0.009869813919067383
[PROF] CompBatch duration alice 0.013262748718261719
[PROF] FetchBatch duration alice 0.008941650390625
[PROF] CompBatch duration alice 0.012314796447753906
[PROF] FetchBatch duration alice 0.0090179443359375
[PROF] CompBatch duration alice 0.012097358703613281
[PROF] FetchBatch duration alice 0.009035825729370117
[PROF] CompBatch duration alice 0.01251077651977539
[PROF] FetchBatch duration alice 0.009169340133666992
[PROF] CompBatch duration alice 0.011889457702636719
[PROF] FetchBatch duration alice 0.008714437484741211
[PROF] CompBatch duration alice 0.011416435241699219
[PROF] FetchBatch duration alice 0.00908350944519043
[PROF] CompBatch duration alice 0.011883735656738281
[PROF] FetchBatch duration alice 0.008998632431030273
[PROF] CompBatch duration alice 0.011626482009887695
[PROF] FetchBatch duration alice 0.00908517837524414
[PROF] CompBatch duration alice 0.011906623840332031
[PROF] FetchBatch duration alice 0.008989572525024414
[PROF] CompBatch duration alice 0.012209415435791016
[PROF] FetchBatch duration alice 0.009275197982788086
[PROF] CompBatch duration alice 0.012381792068481445
[PROF] FetchBatch duration alice 0.008966922760009766
[PROF] CompBatch duration alice 0.012239456176757812
[PROF] FetchBatch duration alice 0.008642911911010742
[PROF] CompBatch duration alice 0.01223134994506836
