[PROF] NR_DATA number alice 24754
[PROF] FetchBatch duration alice 0.03879189491271973
[PROF] CompBatch duration alice 0.08514761924743652
[PROF] FetchBatch duration alice 0.03353452682495117
[PROF] CompBatch duration alice 0.049219608306884766
[PROF] FetchBatch duration alice 0.03564858436584473
[PROF] CompBatch duration alice 0.05197477340698242
[PROF] FetchBatch duration alice 0.03733944892883301
[PROF] CompBatch duration alice 0.04130101203918457
[PROF] FetchBatch duration alice 0.03619718551635742
[PROF] CompBatch duration alice 0.04275631904602051
[PROF] FetchBatch duration alice 0.03558349609375
[PROF] CompBatch duration alice 0.03998374938964844
[PROF] FetchBatch duration alice 0.035117387771606445
[PROF] CompBatch duration alice 0.04346036911010742
[PROF] FetchBatch duration alice 0.03530430793762207
[PROF] CompBatch duration alice 0.03703165054321289
[PROF] FetchBatch duration alice 0.03527975082397461
[PROF] CompBatch duration alice 0.03603768348693848
[PROF] FetchBatch duration alice 0.036678314208984375
[PROF] CompBatch duration alice 0.041939735412597656
[PROF] FetchBatch duration alice 0.03597831726074219
[PROF] CompBatch duration alice 0.03830742835998535
[PROF] FetchBatch duration alice 0.03644108772277832
[PROF] CompBatch duration alice 0.03844785690307617
[PROF] FetchBatch duration alice 0.035715341567993164
[PROF] CompBatch duration alice 0.037546634674072266
[PROF] FetchBatch duration alice 0.0352327823638916
[PROF] CompBatch duration alice 0.039342641830444336
[PROF] FetchBatch duration alice 0.0347447395324707
[PROF] CompBatch duration alice 0.0401310920715332
[PROF] FetchBatch duration alice 0.03370976448059082
[PROF] CompBatch duration alice 0.038553476333618164
[PROF] FetchBatch duration alice 0.03372597694396973
[PROF] CompBatch duration alice 0.04130983352661133
[PROF] FetchBatch duration alice 0.03316044807434082
[PROF] CompBatch duration alice 0.03767514228820801
[PROF] FetchBatch duration alice 0.03326582908630371
[PROF] CompBatch duration alice 0.038886308670043945
[PROF] FetchBatch duration alice 0.032260894775390625
[PROF] CompBatch duration alice 0.03874921798706055
[PROF] FetchBatch duration alice 0.035104990005493164
[PROF] CompBatch duration alice 0.03901791572570801
[PROF] FetchBatch duration alice 0.03306388854980469
[PROF] CompBatch duration alice 0.0425875186920166
[PROF] FetchBatch duration alice 0.03576087951660156
[PROF] CompBatch duration alice 0.04101824760437012
[PROF] FetchBatch duration alice 0.0390472412109375
[PROF] CompBatch duration alice 0.04262685775756836
[PROF] FetchBatch duration alice 0.03306913375854492
[PROF] CompBatch duration alice 0.037225961685180664
[PROF] FetchBatch duration alice 0.03335309028625488
[PROF] CompBatch duration alice 0.036479949951171875
[PROF] FetchBatch duration alice 0.03318595886230469
[PROF] CompBatch duration alice 0.03942298889160156
[PROF] FetchBatch duration alice 0.033609867095947266
[PROF] CompBatch duration alice 0.0381007194519043
[PROF] FetchBatch duration alice 0.03386688232421875
[PROF] CompBatch duration alice 0.03958415985107422
[PROF] FetchBatch duration alice 0.03321099281311035
[PROF] CompBatch duration alice 0.04091811180114746
[PROF] FetchBatch duration alice 0.03547239303588867
[PROF] CompBatch duration alice 0.04098773002624512
[PROF] FetchBatch duration alice 0.03419971466064453
[PROF] CompBatch duration alice 0.03771066665649414
[PROF] FetchBatch duration alice 0.03300070762634277
[PROF] CompBatch duration alice 0.03778076171875
[PROF] FetchBatch duration alice 0.03333163261413574
[PROF] CompBatch duration alice 0.04000139236450195
[PROF] FetchBatch duration alice 0.03302955627441406
[PROF] CompBatch duration alice 0.03628206253051758
[PROF] FetchBatch duration alice 0.03712153434753418
[PROF] CompBatch duration alice 0.035764217376708984
[PROF] FetchBatch duration alice 0.033843278884887695
[PROF] CompBatch duration alice 0.036122798919677734
[PROF] FetchBatch duration alice 0.03264594078063965
[PROF] CompBatch duration alice 0.03928542137145996
[PROF] FetchBatch duration alice 0.0337677001953125
[PROF] CompBatch duration alice 0.0368199348449707
[PROF] FetchBatch duration alice 0.03374981880187988
[PROF] CompBatch duration alice 0.03585219383239746
[PROF] FetchBatch duration alice 0.038356781005859375
[PROF] CompBatch duration alice 0.0417482852935791
[PROF] FetchBatch duration alice 0.03500795364379883
[PROF] CompBatch duration alice 0.044446468353271484
[PROF] FetchBatch duration alice 0.033281564712524414
[PROF] CompBatch duration alice 0.04139590263366699
[PROF] FetchBatch duration alice 0.031731367111206055
[PROF] CompBatch duration alice 0.04347085952758789
[PROF] FetchBatch duration alice 0.030934810638427734
[PROF] CompBatch duration alice 0.04637002944946289
[PROF] FetchBatch duration alice 0.03132224082946777
[PROF] CompBatch duration alice 0.044286489486694336
[PROF] FetchBatch duration alice 0.031690359115600586
[PROF] CompBatch duration alice 0.05002260208129883
[PROF] FetchBatch duration alice 0.03309917449951172
[PROF] CompBatch duration alice 0.03621268272399902
[PROF] FetchBatch duration alice 0.03475332260131836
[PROF] CompBatch duration alice 0.03697323799133301
[PROF] FetchBatch duration alice 0.03418588638305664
[PROF] CompBatch duration alice 0.03848743438720703
[PROF] FetchBatch duration alice 0.03618288040161133
[PROF] CompBatch duration alice 0.04430103302001953
[PROF] FetchBatch duration alice 0.033603668212890625
[PROF] CompBatch duration alice 0.0381772518157959
[PROF] FetchBatch duration alice 0.03450822830200195
[PROF] CompBatch duration alice 0.041790008544921875
[PROF] FetchBatch duration alice 0.03332066535949707
[PROF] CompBatch duration alice 0.041474342346191406
