[PROF] NR_DATA number alice 24754
[PROF] FetchBatch duration alice 0.01611328125
[PROF] CompBatch duration alice 0.03648257255554199
[PROF] FetchBatch duration alice 0.017345190048217773
[PROF] CompBatch duration alice 0.044867515563964844
[PROF] FetchBatch duration alice 0.016127347946166992
[PROF] CompBatch duration alice 0.035813093185424805
[PROF] FetchBatch duration alice 0.01739025115966797
[PROF] CompBatch duration alice 0.026627063751220703
[PROF] FetchBatch duration alice 0.016143321990966797
[PROF] CompBatch duration alice 0.028702974319458008
[PROF] FetchBatch duration alice 0.016698837280273438
[PROF] CompBatch duration alice 0.030227184295654297
[PROF] FetchBatch duration alice 0.016631603240966797
[PROF] CompBatch duration alice 0.03275609016418457
[PROF] FetchBatch duration alice 0.01732945442199707
[PROF] CompBatch duration alice 0.022652387619018555
[PROF] FetchBatch duration alice 0.01662278175354004
[PROF] CompBatch duration alice 0.035215139389038086
[PROF] FetchBatch duration alice 0.01759791374206543
[PROF] CompBatch duration alice 0.02180790901184082
[PROF] FetchBatch duration alice 0.01788496971130371
[PROF] CompBatch duration alice 0.03007221221923828
[PROF] FetchBatch duration alice 0.017727375030517578
[PROF] CompBatch duration alice 0.02987980842590332
[PROF] FetchBatch duration alice 0.01703047752380371
[PROF] CompBatch duration alice 0.03237175941467285
[PROF] FetchBatch duration alice 0.016673803329467773
[PROF] CompBatch duration alice 0.02842545509338379
[PROF] FetchBatch duration alice 0.017337799072265625
[PROF] CompBatch duration alice 0.03711247444152832
[PROF] FetchBatch duration alice 0.01819634437561035
[PROF] CompBatch duration alice 0.03253817558288574
[PROF] FetchBatch duration alice 0.016570091247558594
[PROF] CompBatch duration alice 0.028743743896484375
[PROF] FetchBatch duration alice 0.01780104637145996
[PROF] CompBatch duration alice 0.02104330062866211
[PROF] FetchBatch duration alice 0.01738262176513672
[PROF] CompBatch duration alice 0.021589994430541992
[PROF] FetchBatch duration alice 0.01792764663696289
[PROF] CompBatch duration alice 0.02162456512451172
[PROF] FetchBatch duration alice 0.016813039779663086
[PROF] CompBatch duration alice 0.021960020065307617
[PROF] FetchBatch duration alice 0.020588159561157227
[PROF] CompBatch duration alice 0.02153754234313965
[PROF] FetchBatch duration alice 0.017160415649414062
[PROF] CompBatch duration alice 0.02274918556213379
[PROF] FetchBatch duration alice 0.016766786575317383
[PROF] CompBatch duration alice 0.028786420822143555
[PROF] FetchBatch duration alice 0.016452312469482422
[PROF] CompBatch duration alice 0.02788567543029785
[PROF] FetchBatch duration alice 0.01702880859375
[PROF] CompBatch duration alice 0.02831888198852539
