ID: flvm-6
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605977045.1206524
[trace] LossFuncSend recv COORD 1605977045.1338415
[trace] ModelConfigSend recv COORD 1605977045.1347632
[trace] LocalTraining duration flvm-6 41.03443908691406
[trace] SendShare_22675876131 start flvm-2 1605977086.1712205
[trace] SendShare_22675876131 end flvm-2 1605977086.1774535
[trace] SendShare_77733836229 start flvm-3 1605977086.1774676
[trace] SendShare_77733836229 end flvm-3 1605977086.3291142
[trace] SendShare_73575285675 start flvm-4 1605977086.3291323
[trace] SendShare_73575285675 end flvm-4 1605977086.3354044
[trace] SendShare_44106019045 start flvm-5 1605977086.3354182
[trace] SendShare_44106019045 end flvm-5 1605977086.3423018
[trace] SendShare_79632029423 start flvm-6 1605977086.342314
[trace] GetShare_79632029423 recv flvm-6 1605977086.3427103
[trace] SendShare_79632029423 end flvm-6 1605977086.3427649
[trace] SendShare_94896997155 start flvm-7 1605977086.3427744
[trace] GetShare_49005136128 recv flvm-11 1605977086.3489847
[trace] GetShare_27723009896 recv flvm-9 1605977086.3511019
[trace] GetShare_25126810206 recv flvm-10 1605977086.3533788
[trace] SendShare_94896997155 end flvm-7 1605977086.3535488
[trace] SendShare_24448833500 start flvm-8 1605977086.3535607
[trace] GetShare_54297494463 recv flvm-5 1605977086.3596733
[trace] SendShare_24448833500 end flvm-8 1605977086.3598444
[trace] SendShare_15017354323 start flvm-9 1605977086.359856
[trace] GetShare_55686813804 recv flvm-8 1605977086.362845
[trace] GetShare_65789789008 recv flvm-4 1605977086.3647485
[trace] SendShare_15017354323 end flvm-9 1605977086.3649163
[trace] SendShare_93301770329 start flvm-10 1605977086.364926
[trace] GetShare_14606959223 recv flvm-13 1605977086.3678849
[trace] SendShare_93301770329 end flvm-10 1605977086.3680625
[trace] SendShare_55764464906 start flvm-11 1605977086.3680735
[trace] GetShare_75780751376 recv flvm-2 1605977086.3704023
[trace] SendShare_55764464906 end flvm-11 1605977086.3709471
[trace] SendShare_12660746343 start flvm-12 1605977086.3709598
[trace] GetShare_17185043832 recv flvm-3 1605977086.3750815
[trace] GetShare_58174098446 recv flvm-7 1605977086.386001
[trace] SendShare_12660746343 end flvm-12 1605977093.215225
[trace] SendShare_92536242087 start flvm-13 1605977093.215276
[trace] SendShare_92536242087 end flvm-13 1605977093.220548
[trace] EncryptParameter0 duration flvm-6 7.050073146820068
[trace] GetShare_83309809185 recv flvm-2 1605977093.2291155
[trace] GetShare_93023619064 recv flvm-12 1605977093.2337832
[trace] GetShare_3467861755 recv flvm-4 1605977093.2341359
[trace] GetShare_31094531569 recv flvm-7 1605977093.2347536
[trace] GetShare_89108575715 recv flvm-3 1605977093.235924
[trace] GetShare_51460981217 recv flvm-10 1605977093.2362883
[trace] GetShare_25552554436 recv flvm-5 1605977093.237183
[trace] GetShare_14933364240 recv flvm-13 1605977093.240215
[trace] MultiplyParameter0 duration flvm-6 0.023073911666870117
[trace] SendShare_64166875226 start flvm-2 1605977093.2440765
[trace] SendShare_64166875226 end flvm-2 1605977093.2452974
[trace] SendShare_63741357678 start flvm-3 1605977093.245331
[trace] SendShare_63741357678 end flvm-3 1605977093.2466528
[trace] SendShare_71633758682 start flvm-4 1605977093.246664
[trace] GetShare_85744762037 recv flvm-9 1605977093.2484508
[trace] SendShare_71633758682 end flvm-4 1605977093.2486336
[trace] SendShare_85195999975 start flvm-5 1605977093.2486444
[trace] SendShare_85195999975 end flvm-5 1605977093.250133
[trace] SendShare_85522344385 start flvm-6 1605977093.2501647
[trace] GetShare_85522344385 recv flvm-6 1605977093.2504797
[trace] SendShare_85522344385 end flvm-6 1605977093.250532
[trace] SendShare_89550506800 start flvm-7 1605977093.2505395
[trace] SendShare_89550506800 end flvm-7 1605977093.252318
[trace] SendShare_76672850962 start flvm-8 1605977093.2523303
[trace] SendShare_76672850962 end flvm-8 1605977093.254708
[trace] SendShare_16798982200 start flvm-9 1605977093.254721
[trace] SendShare_16798982200 end flvm-9 1605977093.256241
[trace] SendShare_16546783391 start flvm-10 1605977093.2562907
[trace] GetShare_43296715231 recv flvm-11 1605977093.2571576
[trace] SendShare_16546783391 end flvm-10 1605977093.2574136
[trace] SendShare_23339408799 start flvm-11 1605977093.2574265
[trace] GetShare_87740187761 recv flvm-8 1605977093.258024
[trace] SendShare_23339408799 end flvm-11 1605977093.2590232
[trace] SendShare_59252989636 start flvm-12 1605977093.2590551
[trace] SendShare_59252989636 end flvm-12 1605977093.2617905
[trace] SendShare_87831972364 start flvm-13 1605977093.2618272
[trace] SendShare_87831972364 end flvm-13 1605977093.2633867
[trace] EncryptParameter1 duration flvm-6 0.019620656967163086
[trace] MultiplyParameter1 duration flvm-6 0.05467939376831055
[trace] SendShare_17519944087 start flvm-2 1605977093.3379798
[trace] GetShare_244331304 recv flvm-12 1605977093.386938
[trace] GetShare_71446329076 recv flvm-7 1605977093.8912141
[trace] GetShare_41417025392 recv flvm-4 1605977093.9888773
[trace] SendShare_17519944087 end flvm-2 1605977093.9890647
[trace] SendShare_60208840537 start flvm-3 1605977093.9890752
[trace] GetShare_96389239593 recv flvm-9 1605977094.1137764
[trace] GetShare_38795618531 recv flvm-5 1605977094.2140603
[trace] SendShare_60208840537 end flvm-3 1605977094.2644706
[trace] SendShare_69331288927 start flvm-4 1605977094.2644837
[trace] GetShare_5326956180 recv flvm-2 1605977094.4981873
[trace] GetShare_76024370245 recv flvm-8 1605977094.5959256
[trace] SendShare_69331288927 end flvm-4 1605977094.5961072
[trace] SendShare_5427923261 start flvm-5 1605977094.596118
[trace] GetShare_2366633023 recv flvm-13 1605977094.6971571
[trace] SendShare_5427923261 end flvm-5 1605977094.6973417
[trace] SendShare_56468754489 start flvm-6 1605977094.697361
[trace] GetShare_56468754489 recv flvm-6 1605977094.6985881
[trace] SendShare_56468754489 end flvm-6 1605977094.6986525
[trace] SendShare_32075286630 start flvm-7 1605977094.6986609
[trace] GetShare_9051364324 recv flvm-11 1605977094.7997189
[trace] GetShare_40729503062 recv flvm-3 1605977094.9282813
[trace] SendShare_32075286630 end flvm-7 1605977094.9903295
[trace] SendShare_93590108630 start flvm-8 1605977094.9903982
[trace] GetShare_42441501484 recv flvm-12 1605977095.100662
[trace] SendShare_93590108630 end flvm-8 1605977095.1008494
[trace] SendShare_67648084756 start flvm-9 1605977095.1008599
[trace] GetShare_1101640580 recv flvm-10 1605977095.302041
[trace] SendShare_67648084756 end flvm-9 1605977095.3989089
[trace] SendShare_13325645622 start flvm-10 1605977095.3989294
[trace] SendShare_13325645622 end flvm-10 1605977095.5279849
[trace] SendShare_30202205794 start flvm-11 1605977095.528025
[trace] GetShare_19130155187 recv flvm-4 1605977095.5790374
[trace] GetShare_82032792174 recv flvm-7 1605977095.5795486
[trace] SendShare_30202205794 end flvm-11 1605977095.6473277
[trace] SendShare_38402857653 start flvm-12 1605977095.64734
[trace] GetShare_90001738843 recv flvm-2 1605977095.7836194
[trace] GetShare_94413033509 recv flvm-5 1605977095.784093
[trace] GetShare_21198821585 recv flvm-13 1605977095.7845757
[trace] GetShare_46431375239 recv flvm-8 1605977095.7850416
[trace] GetShare_87716027865 recv flvm-9 1605977095.868306
[trace] SendShare_38402857653 end flvm-12 1605977095.8709304
[trace] SendShare_78160785405 start flvm-13 1605977095.8709695
[trace] SendShare_78160785405 end flvm-13 1605977096.086176
[trace] EncryptParameter2 duration flvm-6 2.7670931816101074
[trace] MultiplyParameter2 duration flvm-6 0.10991907119750977
[trace] SendShare_22570903516 start flvm-2 1605977096.1965868
[trace] SendShare_22570903516 end flvm-2 1605977096.7383685
[trace] SendShare_45138004512 start flvm-3 1605977096.7383804
[trace] SendShare_45138004512 end flvm-3 1605977096.7409797
[trace] SendShare_52344275042 start flvm-4 1605977096.7409942
[trace] SendShare_52344275042 end flvm-4 1605977096.7439263
[trace] SendShare_88385677313 start flvm-5 1605977096.7439375
[trace] SendShare_88385677313 end flvm-5 1605977096.7454052
[trace] SendShare_94015933504 start flvm-6 1605977096.7454164
[trace] GetShare_94015933504 recv flvm-6 1605977096.745707
[trace] SendShare_94015933504 end flvm-6 1605977096.7458577
[trace] SendShare_9147497465 start flvm-7 1605977096.7458675
[trace] GetShare_71989709587 recv flvm-11 1605977096.7495253
[trace] SendShare_9147497465 end flvm-7 1605977096.755169
[trace] SendShare_72647486958 start flvm-8 1605977096.7552068
[trace] SendShare_72647486958 end flvm-8 1605977096.7601268
[trace] SendShare_34883338917 start flvm-9 1605977096.7601638
[trace] SendShare_34883338917 end flvm-9 1605977096.7623718
[trace] SendShare_23701768722 start flvm-10 1605977096.762384
[trace] SendShare_23701768722 end flvm-10 1605977096.7643282
[trace] SendShare_20770760256 start flvm-11 1605977096.7643871
[trace] SendShare_20770760256 end flvm-11 1605977096.7659128
[trace] SendShare_52533567253 start flvm-12 1605977096.7659454
[trace] SendShare_52533567253 end flvm-12 1605977096.7681262
[trace] SendShare_92596641322 start flvm-13 1605977096.7681384
[trace] SendShare_92596641322 end flvm-13 1605977096.7706938
[trace] EncryptParameter3 duration flvm-6 0.5744035243988037
[trace] GetShare_61828772695 recv flvm-12 1605977097.3366659
[trace] GetShare_4179156154 recv flvm-10 1605977098.5220096
[trace] GetShare_73153864340 recv flvm-7 1605977099.148015
[trace] MultiplyParameter3 duration flvm-6 2.3872711658477783
[trace] SendShare_5616135774 start flvm-2 1605977099.303932
[trace] GetShare_55410214691 recv flvm-4 1605977100.3116457
[trace] SendShare_5616135774 end flvm-2 1605977100.3119867
[trace] SendShare_98832953725 start flvm-3 1605977100.3119998
[trace] GetShare_97456607824 recv flvm-3 1605977100.8090072
[trace] GetShare_37505148601 recv flvm-5 1605977101.48195
[trace] SendShare_98832953725 end flvm-3 1605977101.4823248
[trace] SendShare_85891726390 start flvm-4 1605977101.4823372
[trace] GetShare_69511520830 recv flvm-13 1605977102.0994568
[trace] GetShare_7378206615 recv flvm-9 1605977102.7136347
[trace] SendShare_85891726390 end flvm-4 1605977102.71403
[trace] SendShare_20525393755 start flvm-5 1605977102.714043
[trace] GetShare_98974023782 recv flvm-8 1605977103.8717663
[trace] SendShare_20525393755 end flvm-5 1605977103.872125
[trace] SendShare_81977346242 start flvm-6 1605977103.872137
[trace] GetShare_81977346242 recv flvm-6 1605977103.8804297
[trace] SendShare_81977346242 end flvm-6 1605977103.8805354
[trace] SendShare_66746330122 start flvm-7 1605977103.8805463
[trace] GetShare_85040129882 recv flvm-11 1605977104.5401933
[trace] SendShare_66746330122 end flvm-7 1605977104.5409036
[trace] SendShare_8301650702 start flvm-8 1605977104.5409172
[trace] GetShare_94386278778 recv flvm-2 1605977105.156007
[trace] SendShare_8301650702 end flvm-8 1605977105.1563747
[trace] SendShare_39776893218 start flvm-9 1605977105.1563878
[trace] GetShare_9254404121 recv flvm-12 1605977106.3158388
[trace] GetShare_52924392327 recv flvm-10 1605977106.9665835
[trace] SendShare_39776893218 end flvm-9 1605977106.9669352
[trace] SendShare_54574907621 start flvm-10 1605977106.9669476
[trace] SendShare_54574907621 end flvm-10 1605977107.5815084
[trace] SendShare_91668365909 start flvm-11 1605977107.5815277
[trace] GetShare_9267375375 recv flvm-7 1605977107.7061312
[trace] GetShare_79453442507 recv flvm-4 1605977107.723114
[trace] GetShare_94367309751 recv flvm-3 1605977108.9172018
[trace] GetShare_65385201427 recv flvm-5 1605977108.9180562
[trace] SendShare_91668365909 end flvm-11 1605977108.9188154
[trace] SendShare_71661868789 start flvm-12 1605977108.918828
[trace] SendShare_71661868789 end flvm-12 1605977110.2221975
[trace] SendShare_56591473903 start flvm-13 1605977110.2222173
[trace] SendShare_56591473903 end flvm-13 1605977110.880058
[trace] EncryptParameter4 duration flvm-6 11.718912363052368
[trace] GetShare_79779323197 recv flvm-13 1605977111.4220366
[trace] GetShare_98120238133 recv flvm-9 1605977111.423974
[trace] GetShare_79567483802 recv flvm-8 1605977112.2279813
[trace] MultiplyParameter4 duration flvm-6 1.8443450927734375
[trace] SendShare_67665850191 start flvm-2 1605977112.7250817
[trace] SendShare_67665850191 end flvm-2 1605977112.7312052
[trace] SendShare_703507624 start flvm-3 1605977112.7312422
[trace] GetShare_85945041052 recv flvm-4 1605977113.7582366
[trace] GetShare_24928860165 recv flvm-11 1605977113.760197
[trace] SendShare_703507624 end flvm-3 1605977113.7607186
[trace] SendShare_78508596642 start flvm-4 1605977113.760731
[trace] SendShare_78508596642 end flvm-4 1605977113.7831323
[trace] SendShare_17256388112 start flvm-5 1605977113.78317
[trace] SendShare_17256388112 end flvm-5 1605977113.7869253
[trace] SendShare_75724468450 start flvm-6 1605977113.786938
[trace] GetShare_75724468450 recv flvm-6 1605977113.78732
[trace] SendShare_75724468450 end flvm-6 1605977113.7873876
[trace] SendShare_29293199328 start flvm-7 1605977113.7873976
[trace] GetShare_77100029536 recv flvm-7 1605977114.5715294
[trace] SendShare_29293199328 end flvm-7 1605977114.5722237
[trace] SendShare_38536232800 start flvm-8 1605977114.5722373
[trace] SendShare_38536232800 end flvm-8 1605977114.576216
[trace] SendShare_42141991494 start flvm-9 1605977114.5762284
[trace] SendShare_42141991494 end flvm-9 1605977114.5798283
[trace] SendShare_17723323489 start flvm-10 1605977114.5798638
[trace] SendShare_17723323489 end flvm-10 1605977114.5823777
[trace] SendShare_37539776733 start flvm-11 1605977114.5823946
[trace] SendShare_37539776733 end flvm-11 1605977114.5848856
[trace] SendShare_95375612819 start flvm-12 1605977114.5849113
[trace] SendShare_95375612819 end flvm-12 1605977114.5876014
[trace] SendShare_10311837485 start flvm-13 1605977114.587614
[trace] GetShare_11955811053 recv flvm-10 1605977114.591024
[trace] GetShare_28497275786 recv flvm-5 1605977115.371752
[trace] SendShare_10311837485 end flvm-13 1605977115.3721514
[trace] EncryptParameter5 duration flvm-6 2.64747953414917
[trace] GetShare_27893619187 recv flvm-12 1605977116.0271852
[trace] MultiplyParameter5 duration flvm-6 0.7819757461547852
[trace] SendShare_90100238579 start flvm-2 1605977116.3389227
[trace] GetShare_92654995681 recv flvm-2 1605977116.7255197
[trace] SendShare_90100238579 end flvm-2 1605977118.2131765
[trace] SendShare_83587675736 start flvm-3 1605977118.2132194
[trace] GetShare_61616406869 recv flvm-9 1605977119.1289294
[trace] GetShare_87719626407 recv flvm-8 1605977120.0185935
[trace] SendShare_83587675736 end flvm-3 1605977120.0189538
[trace] SendShare_15038018419 start flvm-4 1605977120.018966
[trace] GetShare_24758345524 recv flvm-13 1605977120.8339977
[trace] SendShare_15038018419 end flvm-4 1605977120.8344002
[trace] SendShare_52294479122 start flvm-5 1605977120.834413
[trace] GetShare_43107729116 recv flvm-3 1605977120.8576741
[trace] GetShare_2219489024 recv flvm-11 1605977121.724545
[trace] SendShare_52294479122 end flvm-5 1605977121.7252388
[trace] SendShare_63207718960 start flvm-6 1605977121.7252553
[trace] GetShare_63207718960 recv flvm-6 1605977121.7371583
