ID: flvm-7
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605977044.6609094
[trace] LossFuncSend recv COORD 1605977044.671601
[trace] ModelConfigSend recv COORD 1605977044.6724002
[trace] LocalTraining duration flvm-7 28.507187843322754
[trace] SendShare_34813109021 start flvm-2 1605977073.1823604
[trace] SendShare_34813109021 end flvm-2 1605977074.37804
[trace] SendShare_40144586796 start flvm-3 1605977074.3780878
[trace] SendShare_40144586796 end flvm-3 1605977086.3445745
[trace] SendShare_40296086349 start flvm-4 1605977086.3446226
[trace] GetShare_94896997155 recv flvm-6 1605977086.352286
[trace] GetShare_11394875306 recv flvm-11 1605977086.3543897
[trace] GetShare_59947412930 recv flvm-9 1605977086.3563719
[trace] GetShare_42926468855 recv flvm-10 1605977086.3581927
[trace] GetShare_72608064102 recv flvm-5 1605977086.3642068
[trace] GetShare_90377414677 recv flvm-8 1605977086.368497
[trace] GetShare_81164797298 recv flvm-13 1605977086.3734343
[trace] GetShare_57589709621 recv flvm-4 1605977086.3754683
[trace] GetShare_15879911887 recv flvm-2 1605977086.3774526
[trace] SendShare_40296086349 end flvm-4 1605977086.3776362
[trace] SendShare_23240628168 start flvm-5 1605977086.377647
[trace] GetShare_46222338455 recv flvm-3 1605977086.3799572
[trace] SendShare_23240628168 end flvm-5 1605977086.3843527
[trace] SendShare_58174098446 start flvm-6 1605977086.3843899
[trace] SendShare_58174098446 end flvm-6 1605977086.3875165
[trace] SendShare_24728235887 start flvm-7 1605977086.3875475
[trace] GetShare_24728235887 recv flvm-7 1605977086.3878438
[trace] SendShare_24728235887 end flvm-7 1605977086.387895
[trace] SendShare_49325412 start flvm-8 1605977086.3879032
[trace] SendShare_49325412 end flvm-8 1605977086.3906922
[trace] SendShare_42947768822 start flvm-9 1605977086.3907273
[trace] SendShare_42947768822 end flvm-9 1605977086.3933353
[trace] SendShare_62324622664 start flvm-10 1605977086.3933468
[trace] SendShare_62324622664 end flvm-10 1605977086.3961093
[trace] SendShare_81866576716 start flvm-11 1605977086.3961494
[trace] SendShare_81866576716 end flvm-11 1605977086.399075
[trace] SendShare_93356561145 start flvm-12 1605977086.3991086
[trace] SendShare_93356561145 end flvm-12 1605977093.1957207
[trace] SendShare_21418909280 start flvm-13 1605977093.1957655
[trace] SendShare_21418909280 end flvm-13 1605977093.2023563
[trace] EncryptParameter0 duration flvm-7 20.020970106124878
[trace] MultiplyParameter0 duration flvm-7 0.02148890495300293
[trace] SendShare_91779248772 start flvm-2 1605977093.2245107
[trace] SendShare_91779248772 end flvm-2 1605977093.2276354
[trace] SendShare_78166699975 start flvm-3 1605977093.2276483
[trace] SendShare_78166699975 end flvm-3 1605977093.2287686
[trace] SendShare_68027953124 start flvm-4 1605977093.2288024
[trace] SendShare_68027953124 end flvm-4 1605977093.2307608
[trace] SendShare_66104487077 start flvm-5 1605977093.2307715
[trace] GetShare_77302747170 recv flvm-2 1605977093.2314622
[trace] SendShare_66104487077 end flvm-5 1605977093.233207
[trace] SendShare_31094531569 start flvm-6 1605977093.233243
[trace] SendShare_31094531569 end flvm-6 1605977093.236044
[trace] SendShare_36638695057 start flvm-7 1605977093.2360961
[trace] GetShare_36638695057 recv flvm-7 1605977093.23656
[trace] SendShare_36638695057 end flvm-7 1605977093.2366095
[trace] SendShare_79259632876 start flvm-8 1605977093.236618
[trace] GetShare_5614771248 recv flvm-4 1605977093.2374072
[trace] GetShare_69828408063 recv flvm-12 1605977093.239153
[trace] GetShare_99208409634 recv flvm-5 1605977093.2394996
[trace] GetShare_72254014668 recv flvm-10 1605977093.2398107
[trace] SendShare_79259632876 end flvm-8 1605977093.2399535
[trace] SendShare_45587634015 start flvm-9 1605977093.2399633
[trace] GetShare_5171098356 recv flvm-3 1605977093.2404985
[trace] SendShare_45587634015 end flvm-9 1605977093.240893
[trace] SendShare_23278996442 start flvm-10 1605977093.2409034
[trace] GetShare_13385036204 recv flvm-13 1605977093.24257
[trace] SendShare_23278996442 end flvm-10 1605977093.2428298
[trace] SendShare_89065095343 start flvm-11 1605977093.24284
[trace] SendShare_89065095343 end flvm-11 1605977093.2443836
[trace] SendShare_59335827657 start flvm-12 1605977093.2443943
[trace] SendShare_59335827657 end flvm-12 1605977093.2456336
[trace] SendShare_2546917505 start flvm-13 1605977093.2456443
[trace] SendShare_2546917505 end flvm-13 1605977093.2472148
[trace] EncryptParameter1 duration flvm-7 0.02295970916748047
[trace] GetShare_9528065266 recv flvm-9 1605977093.2505376
[trace] GetShare_89550506800 recv flvm-6 1605977093.2525218
[trace] GetShare_35679531320 recv flvm-11 1605977093.2593908
[trace] GetShare_80939649867 recv flvm-8 1605977093.2600005
[trace] MultiplyParameter1 duration flvm-7 0.0148468017578125
[trace] SendShare_15798395067 start flvm-2 1605977093.2815084
[trace] SendShare_15798395067 end flvm-2 1605977093.3804474
[trace] SendShare_77498697761 start flvm-3 1605977093.3804862
[trace] GetShare_1708324335 recv flvm-12 1605977093.389733
[trace] SendShare_77498697761 end flvm-3 1605977093.4814858
[trace] SendShare_92558130301 start flvm-4 1605977093.4815214
[trace] SendShare_92558130301 end flvm-4 1605977093.5829382
[trace] SendShare_85325118429 start flvm-5 1605977093.5829747
[trace] SendShare_85325118429 end flvm-5 1605977093.787363
[trace] SendShare_71446329076 start flvm-6 1605977093.7873998
[trace] SendShare_71446329076 end flvm-6 1605977093.8928092
[trace] SendShare_74938575777 start flvm-7 1605977093.8928475
[trace] GetShare_74938575777 recv flvm-7 1605977093.896147
[trace] SendShare_74938575777 end flvm-7 1605977093.8963583
[trace] SendShare_14714172326 start flvm-8 1605977093.896388
[trace] GetShare_28541640765 recv flvm-4 1605977094.0946589
[trace] SendShare_14714172326 end flvm-8 1605977094.094853
[trace] SendShare_70863471799 start flvm-9 1605977094.0948632
[trace] SendShare_70863471799 end flvm-9 1605977094.20884
[trace] SendShare_4734976838 start flvm-10 1605977094.2088764
[trace] GetShare_72757931119 recv flvm-9 1605977094.310468
[trace] SendShare_4734976838 end flvm-10 1605977094.3137443
[trace] SendShare_42559303083 start flvm-11 1605977094.3137562
[trace] GetShare_39155727891 recv flvm-5 1605977094.4977891
[trace] SendShare_42559303083 end flvm-11 1605977094.4979937
[trace] SendShare_25595295358 start flvm-12 1605977094.4980042
[trace] GetShare_67652096849 recv flvm-2 1605977094.5980704
[trace] SendShare_25595295358 end flvm-12 1605977094.599978
[trace] SendShare_88415248753 start flvm-13 1605977094.5999901
[trace] GetShare_27194579745 recv flvm-8 1605977094.794713
[trace] SendShare_88415248753 end flvm-13 1605977094.7950556
[trace] EncryptParameter2 duration flvm-7 1.5318102836608887
[trace] GetShare_85117458657 recv flvm-13 1605977094.8903704
[trace] GetShare_32075286630 recv flvm-6 1605977094.9903548
[trace] GetShare_83325014624 recv flvm-11 1605977095.084356
[trace] GetShare_62239984311 recv flvm-3 1605977095.1786098
[trace] GetShare_5222595373 recv flvm-12 1605977095.3276126
[trace] GetShare_54199299078 recv flvm-10 1605977095.5278375
[trace] MultiplyParameter2 duration flvm-7 0.7707397937774658
[trace] SendShare_44291759323 start flvm-2 1605977095.566786
[trace] SendShare_44291759323 end flvm-2 1605977095.5701814
[trace] SendShare_38153483677 start flvm-3 1605977095.5701954
[trace] SendShare_38153483677 end flvm-3 1605977095.5732734
[trace] SendShare_91048831189 start flvm-4 1605977095.5733094
[trace] SendShare_91048831189 end flvm-4 1605977095.5762048
[trace] SendShare_32540047830 start flvm-5 1605977095.5762405
[trace] SendShare_32540047830 end flvm-5 1605977095.5789845
[trace] SendShare_82032792174 start flvm-6 1605977095.5790207
[trace] SendShare_82032792174 end flvm-6 1605977095.580896
[trace] SendShare_19760626635 start flvm-7 1605977095.5809307
[trace] GetShare_19760626635 recv flvm-7 1605977095.581645
[trace] SendShare_19760626635 end flvm-7 1605977095.5816963
[trace] SendShare_42824534173 start flvm-8 1605977095.5817041
[trace] GetShare_22251079568 recv flvm-4 1605977095.58238
[trace] SendShare_42824534173 end flvm-8 1605977095.6352086
[trace] SendShare_40916989803 start flvm-9 1605977095.635245
[trace] SendShare_40916989803 end flvm-9 1605977095.6920538
[trace] SendShare_33344746658 start flvm-10 1605977095.6920698
[trace] SendShare_33344746658 end flvm-10 1605977095.7489588
[trace] SendShare_94699548471 start flvm-11 1605977095.748996
[trace] SendShare_94699548471 end flvm-11 1605977095.7520742
[trace] SendShare_85907245310 start flvm-12 1605977095.7520928
[trace] SendShare_85907245310 end flvm-12 1605977095.768973
[trace] SendShare_10511458607 start flvm-13 1605977095.7689877
[trace] SendShare_10511458607 end flvm-13 1605977095.770539
[trace] EncryptParameter3 duration flvm-7 0.2042686939239502
[trace] GetShare_62081397051 recv flvm-5 1605977095.786217
[trace] GetShare_16295751500 recv flvm-13 1605977095.7866864
[trace] GetShare_1916389805 recv flvm-2 1605977095.7871234
[trace] GetShare_15943082678 recv flvm-8 1605977095.7877266
[trace] GetShare_40754536661 recv flvm-9 1605977095.8709207
[trace] MultiplyParameter3 duration flvm-7 0.20755553245544434
[trace] SendShare_7578700985 start flvm-2 1605977096.1245434
[trace] SendShare_7578700985 end flvm-2 1605977096.7318869
[trace] SendShare_86950313104 start flvm-3 1605977096.7319353
[trace] GetShare_26702085175 recv flvm-11 1605977096.7540426
[trace] GetShare_9147497465 recv flvm-6 1605977096.7552836
[trace] SendShare_86950313104 end flvm-3 1605977097.3278124
[trace] SendShare_59427480239 start flvm-4 1605977097.3278515
[trace] GetShare_84456447951 recv flvm-12 1605977097.3506389
[trace] SendShare_59427480239 end flvm-4 1605977097.9129894
[trace] SendShare_77919139084 start flvm-5 1605977097.9130259
[trace] SendShare_77919139084 end flvm-5 1605977098.5203805
[trace] SendShare_73153864340 start flvm-6 1605977098.520428
[trace] GetShare_26207756678 recv flvm-10 1605977098.5397656
[trace] SendShare_73153864340 end flvm-6 1605977099.1497958
[trace] SendShare_71469059989 start flvm-7 1605977099.149841
[trace] GetShare_71469059989 recv flvm-7 1605977099.1642237
[trace] SendShare_71469059989 end flvm-7 1605977099.164352
[trace] SendShare_19898345209 start flvm-8 1605977099.1643639
[trace] SendShare_19898345209 end flvm-8 1605977099.7445445
[trace] SendShare_57590243977 start flvm-9 1605977099.7445886
[trace] SendShare_57590243977 end flvm-9 1605977100.3347478
[trace] SendShare_1228821841 start flvm-10 1605977100.3347912
[trace] GetShare_56178126107 recv flvm-4 1605977100.9041443
[trace] GetShare_71384209926 recv flvm-3 1605977100.9047694
[trace] SendShare_1228821841 end flvm-10 1605977101.502246
[trace] SendShare_24975723692 start flvm-11 1605977101.502293
[trace] GetShare_19826346055 recv flvm-5 1605977102.0983813
[trace] GetShare_4671740447 recv flvm-13 1605977102.6746893
[trace] SendShare_24975723692 end flvm-11 1605977102.6750784
[trace] SendShare_37099195675 start flvm-12 1605977102.675092
[trace] GetShare_10167834839 recv flvm-9 1605977103.2938092
[trace] SendShare_37099195675 end flvm-12 1605977103.294135
[trace] SendShare_13349517593 start flvm-13 1605977103.2941475
[trace] GetShare_66746330122 recv flvm-6 1605977104.4635997
[trace] SendShare_13349517593 end flvm-13 1605977104.4640837
[trace] EncryptParameter4 duration flvm-7 8.481726169586182
[trace] GetShare_58883143607 recv flvm-8 1605977105.0256214
[trace] GetShare_85305380120 recv flvm-11 1605977105.649109
[trace] GetShare_15451614146 recv flvm-2 1605977106.2109027
[trace] GetShare_42830662682 recv flvm-12 1605977106.9722874
[trace] GetShare_78586129283 recv flvm-10 1605977107.5441275
[trace] MultiplyParameter4 duration flvm-7 3.08921217918396
[trace] SendShare_33381769529 start flvm-2 1605977107.5538564
[trace] SendShare_33381769529 end flvm-2 1605977107.5575519
[trace] SendShare_11102085112 start flvm-3 1605977107.557566
[trace] SendShare_11102085112 end flvm-3 1605977107.5632625
[trace] SendShare_53475803615 start flvm-4 1605977107.5633073
[trace] SendShare_53475803615 end flvm-4 1605977107.7002132
[trace] SendShare_55349805169 start flvm-5 1605977107.7002492
[trace] SendShare_55349805169 end flvm-5 1605977107.7046835
[trace] SendShare_9267375375 start flvm-6 1605977107.7047193
[trace] SendShare_9267375375 end flvm-6 1605977107.7077193
[trace] SendShare_86093925977 start flvm-7 1605977107.7077599
[trace] GetShare_86093925977 recv flvm-7 1605977107.7087276
[trace] SendShare_86093925977 end flvm-7 1605977107.7088945
[trace] SendShare_13369092943 start flvm-8 1605977107.7089207
[trace] GetShare_4772320339 recv flvm-4 1605977107.7260718
[trace] SendShare_13369092943 end flvm-8 1605977108.2131138
[trace] SendShare_39255942632 start flvm-9 1605977108.213151
[trace] SendShare_39255942632 end flvm-9 1605977108.7121341
[trace] SendShare_31176989390 start flvm-10 1605977108.7121727
[trace] SendShare_31176989390 end flvm-10 1605977108.7477443
[trace] SendShare_12719688189 start flvm-11 1605977108.7477856
[trace] SendShare_12719688189 end flvm-11 1605977108.8354716
[trace] SendShare_43087335239 start flvm-12 1605977108.8355088
[trace] SendShare_43087335239 end flvm-12 1605977108.883316
[trace] SendShare_66965925524 start flvm-13 1605977108.8833785
[trace] SendShare_66965925524 end flvm-13 1605977108.8894513
[trace] EncryptParameter5 duration flvm-7 1.3359489440917969
[trace] GetShare_53365808662 recv flvm-5 1605977108.9237185
