ID: flvm-8
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605977044.766583
[trace] LossFuncSend recv COORD 1605977044.7797632
[trace] ModelConfigSend recv COORD 1605977044.7805545
[trace] LocalTraining duration flvm-8 32.20875263214111
[trace] SendShare_74941815391 start flvm-2 1605977076.9933875
[trace] SendShare_74941815391 end flvm-2 1605977077.0032887
[trace] SendShare_41787172470 start flvm-3 1605977077.0033295
[trace] SendShare_41787172470 end flvm-3 1605977086.338955
[trace] SendShare_53046455672 start flvm-4 1605977086.3390064
[trace] SendShare_53046455672 end flvm-4 1605977086.353357
[trace] SendShare_42452693155 start flvm-5 1605977086.3533754
[trace] GetShare_24448833500 recv flvm-6 1605977086.3580973
[trace] GetShare_37798076384 recv flvm-9 1605977086.3602498
[trace] SendShare_42452693155 end flvm-5 1605977086.3604524
[trace] SendShare_55686813804 start flvm-6 1605977086.3604643
[trace] GetShare_34414982462 recv flvm-11 1605977086.3627806
[trace] GetShare_37627706544 recv flvm-10 1605977086.3647363
[trace] SendShare_55686813804 end flvm-6 1605977086.3649588
[trace] SendShare_90377414677 start flvm-7 1605977086.3649712
[trace] GetShare_80499819814 recv flvm-5 1605977086.3672907
[trace] SendShare_90377414677 end flvm-7 1605977086.3681204
[trace] SendShare_85771654770 start flvm-8 1605977086.3681333
[trace] GetShare_85771654770 recv flvm-8 1605977086.3684814
[trace] SendShare_85771654770 end flvm-8 1605977086.3685436
[trace] SendShare_66015058801 start flvm-9 1605977086.3685532
[trace] SendShare_66015058801 end flvm-9 1605977086.371907
[trace] SendShare_83555102461 start flvm-10 1605977086.3719218
[trace] GetShare_47037174387 recv flvm-13 1605977086.3761122
[trace] GetShare_71056188312 recv flvm-4 1605977086.378136
[trace] SendShare_83555102461 end flvm-10 1605977086.3783247
[trace] SendShare_69260196974 start flvm-11 1605977086.3783362
[trace] GetShare_875982669 recv flvm-2 1605977086.380635
[trace] GetShare_53166995314 recv flvm-3 1605977086.3826673
[trace] SendShare_69260196974 end flvm-11 1605977086.3828676
[trace] SendShare_76129401133 start flvm-12 1605977086.3828785
[trace] GetShare_49325412 recv flvm-7 1605977086.389556
[trace] SendShare_76129401133 end flvm-12 1605977093.2101812
[trace] SendShare_84477927160 start flvm-13 1605977093.210233
[trace] SendShare_84477927160 end flvm-13 1605977093.2185507
[trace] EncryptParameter0 duration flvm-8 16.22712254524231
[trace] GetShare_4375328727 recv flvm-2 1605977093.2326388
[trace] GetShare_79259632876 recv flvm-7 1605977093.2369597
[trace] GetShare_61765825341 recv flvm-4 1605977093.2382636
[trace] GetShare_27812827735 recv flvm-12 1605977093.2421834
[trace] GetShare_4499917330 recv flvm-3 1605977093.2429507
[trace] GetShare_80681398224 recv flvm-10 1605977093.2433503
[trace] GetShare_78996373756 recv flvm-5 1605977093.2437217
[trace] GetShare_85058245391 recv flvm-13 1605977093.244647
[trace] MultiplyParameter0 duration flvm-8 0.029690027236938477
[trace] SendShare_22950961333 start flvm-2 1605977093.2489214
[trace] SendShare_22950961333 end flvm-2 1605977093.250786
[trace] SendShare_56752652804 start flvm-3 1605977093.2508218
[trace] GetShare_5014970531 recv flvm-9 1605977093.2517917
[trace] SendShare_56752652804 end flvm-3 1605977093.2524922
[trace] SendShare_50086889493 start flvm-4 1605977093.2525277
[trace] GetShare_76672850962 recv flvm-6 1605977093.2543116
[trace] SendShare_50086889493 end flvm-4 1605977093.255388
[trace] SendShare_21787779917 start flvm-5 1605977093.2553988
[trace] SendShare_21787779917 end flvm-5 1605977093.2569587
[trace] SendShare_87740187761 start flvm-6 1605977093.2569938
[trace] SendShare_87740187761 end flvm-6 1605977093.258528
[trace] SendShare_80939649867 start flvm-7 1605977093.2585404
[trace] GetShare_55754603863 recv flvm-11 1605977093.260223
[trace] SendShare_80939649867 end flvm-7 1605977093.2604046
[trace] SendShare_50002185216 start flvm-8 1605977093.2604156
[trace] GetShare_50002185216 recv flvm-8 1605977093.2607145
[trace] SendShare_50002185216 end flvm-8 1605977093.2607677
[trace] SendShare_8104052803 start flvm-9 1605977093.2607763
[trace] SendShare_8104052803 end flvm-9 1605977093.2621918
[trace] SendShare_38992563809 start flvm-10 1605977093.2622287
[trace] SendShare_38992563809 end flvm-10 1605977093.2635415
[trace] SendShare_66607467930 start flvm-11 1605977093.263577
[trace] SendShare_66607467930 end flvm-11 1605977093.2650578
[trace] SendShare_54959511265 start flvm-12 1605977093.265069
[trace] SendShare_54959511265 end flvm-12 1605977093.267102
[trace] SendShare_94929233462 start flvm-13 1605977093.2671142
[trace] SendShare_94929233462 end flvm-13 1605977093.2683008
[trace] EncryptParameter1 duration flvm-8 0.019682884216308594
[trace] MultiplyParameter1 duration flvm-8 0.04997706413269043
[trace] SendShare_53666124082 start flvm-2 1605977093.340844
[trace] GetShare_79046887947 recv flvm-12 1605977093.3910365
[trace] SendShare_53666124082 end flvm-2 1605977093.783612
[trace] SendShare_63078722943 start flvm-3 1605977093.7836537
[trace] GetShare_14714172326 recv flvm-7 1605977093.9986608
[trace] SendShare_63078722943 end flvm-3 1605977093.9989307
[trace] SendShare_74231277203 start flvm-4 1605977093.998943
[trace] SendShare_74231277203 end flvm-4 1605977094.186283
[trace] SendShare_46693291514 start flvm-5 1605977094.1863217
[trace] GetShare_43517860472 recv flvm-4 1605977094.3790188
[trace] SendShare_46693291514 end flvm-5 1605977094.3794105
[trace] SendShare_76024370245 start flvm-6 1605977094.379424
[trace] GetShare_89267077978 recv flvm-9 1605977094.4826963
[trace] SendShare_76024370245 end flvm-6 1605977094.5971613
[trace] SendShare_27194579745 start flvm-7 1605977094.5972111
[trace] GetShare_98576546313 recv flvm-5 1605977094.695791
[trace] GetShare_92183394821 recv flvm-2 1605977094.7891312
[trace] SendShare_27194579745 end flvm-7 1605977094.7944272
[trace] SendShare_67814633673 start flvm-8 1605977094.7944403
[trace] GetShare_67814633673 recv flvm-8 1605977094.795871
[trace] SendShare_67814633673 end flvm-8 1605977094.795951
[trace] SendShare_9039461864 start flvm-9 1605977094.7959611
[trace] GetShare_58249754417 recv flvm-13 1605977094.9992855
[trace] GetShare_93590108630 recv flvm-6 1605977095.0973985
[trace] SendShare_9039461864 end flvm-9 1605977095.0985725
[trace] SendShare_35634248050 start flvm-10 1605977095.098588
[trace] GetShare_57411656856 recv flvm-11 1605977095.2129214
[trace] SendShare_35634248050 end flvm-10 1605977095.2132
[trace] SendShare_76216809142 start flvm-11 1605977095.2132123
[trace] GetShare_44786609436 recv flvm-3 1605977095.3239512
[trace] SendShare_76216809142 end flvm-11 1605977095.3334131
[trace] SendShare_80385002404 start flvm-12 1605977095.3334296
[trace] GetShare_93551458238 recv flvm-12 1605977095.4302561
[trace] SendShare_80385002404 end flvm-12 1605977095.4468958
[trace] SendShare_41164496771 start flvm-13 1605977095.4469392
[trace] GetShare_46709343648 recv flvm-10 1605977095.632868
[trace] GetShare_85539225017 recv flvm-4 1605977095.6334348
[trace] GetShare_42824534173 recv flvm-7 1605977095.6339192
[trace] SendShare_41164496771 end flvm-13 1605977095.6341376
[trace] EncryptParameter2 duration flvm-8 2.3144853115081787
[trace] MultiplyParameter2 duration flvm-8 0.13693523406982422
[trace] SendShare_16719308334 start flvm-2 1605977095.7754662
[trace] SendShare_16719308334 end flvm-2 1605977095.7783842
[trace] SendShare_86345745912 start flvm-3 1605977095.7783961
[trace] SendShare_86345745912 end flvm-3 1605977095.7803142
[trace] SendShare_68349829045 start flvm-4 1605977095.7803266
[trace] SendShare_68349829045 end flvm-4 1605977095.7819877
[trace] SendShare_48363735636 start flvm-5 1605977095.7820227
