ID: flvm-10
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605977045.2002952
[trace] LossFuncSend recv COORD 1605977045.2132807
[trace] ModelConfigSend recv COORD 1605977045.2152402
[trace] LocalTraining duration flvm-10 30.582247734069824
[trace] SendShare_46589885691 start flvm-2 1605977075.800424
[trace] SendShare_46589885691 end flvm-2 1605977075.808352
[trace] SendShare_33055544270 start flvm-3 1605977075.8083897
[trace] SendShare_33055544270 end flvm-3 1605977086.3406587
[trace] SendShare_35074232950 start flvm-4 1605977086.3406804
[trace] SendShare_35074232950 end flvm-4 1605977086.3476717
[trace] SendShare_13295935133 start flvm-5 1605977086.347688
[trace] SendShare_13295935133 end flvm-5 1605977086.350931
[trace] SendShare_25126810206 start flvm-6 1605977086.3509445
[trace] SendShare_25126810206 end flvm-6 1605977086.3539662
[trace] SendShare_42926468855 start flvm-7 1605977086.3539782
[trace] SendShare_42926468855 end flvm-7 1605977086.3579051
[trace] SendShare_37627706544 start flvm-8 1605977086.3579168
[trace] GetShare_65705998590 recv flvm-9 1605977086.3638213
[trace] SendShare_37627706544 end flvm-8 1605977086.3651288
[trace] SendShare_45187376158 start flvm-9 1605977086.3651397
[trace] GetShare_93301770329 recv flvm-6 1605977086.3674366
[trace] GetShare_96384769501 recv flvm-11 1605977086.3742056
[trace] GetShare_33265859314 recv flvm-5 1605977086.3760698
[trace] GetShare_83555102461 recv flvm-8 1605977086.3779116
[trace] SendShare_45187376158 end flvm-9 1605977086.3780727
[trace] SendShare_86851868720 start flvm-10 1605977086.3780828
[trace] GetShare_86851868720 recv flvm-10 1605977086.3783965
[trace] SendShare_86851868720 end flvm-10 1605977086.3784478
[trace] SendShare_22141028314 start flvm-11 1605977086.3784559
[trace] GetShare_87452589217 recv flvm-13 1605977086.3822677
[trace] GetShare_50415104437 recv flvm-4 1605977086.3842692
[trace] SendShare_22141028314 end flvm-11 1605977086.3844895
[trace] SendShare_96683439771 start flvm-12 1605977086.3845007
[trace] GetShare_46911539574 recv flvm-2 1605977086.3867548
[trace] GetShare_22685151501 recv flvm-3 1605977086.3886218
[trace] GetShare_62324622664 recv flvm-7 1605977086.3949726
[trace] SendShare_96683439771 end flvm-12 1605977093.2040446
[trace] SendShare_1221432239 start flvm-13 1605977093.20409
[trace] SendShare_1221432239 end flvm-13 1605977093.21441
[trace] EncryptParameter0 duration flvm-10 17.414843559265137
[trace] MultiplyParameter0 duration flvm-10 0.014433622360229492
[trace] SendShare_7423027404 start flvm-2 1605977093.2294
[trace] SendShare_7423027404 end flvm-2 1605977093.2304854
[trace] SendShare_29616770167 start flvm-3 1605977093.2304988
[trace] SendShare_29616770167 end flvm-3 1605977093.2320774
[trace] SendShare_91434781171 start flvm-4 1605977093.2321115
[trace] SendShare_91434781171 end flvm-4 1605977093.2339227
[trace] SendShare_33324265375 start flvm-5 1605977093.233933
[trace] GetShare_59786002160 recv flvm-2 1605977093.2347167
[trace] SendShare_33324265375 end flvm-5 1605977093.2354734
[trace] SendShare_51460981217 start flvm-6 1605977093.2355049
[trace] SendShare_51460981217 end flvm-6 1605977093.237088
[trace] SendShare_72254014668 start flvm-7 1605977093.237121
[trace] SendShare_72254014668 end flvm-7 1605977093.2398276
[trace] SendShare_80681398224 start flvm-8 1605977093.2398384
[trace] GetShare_50824224681 recv flvm-4 1605977093.241593
[trace] GetShare_23278996442 recv flvm-7 1605977093.2420435
[trace] SendShare_80681398224 end flvm-8 1605977093.2440064
[trace] SendShare_93239315056 start flvm-9 1605977093.2440372
[trace] SendShare_93239315056 end flvm-9 1605977093.2465196
[trace] SendShare_62452164197 start flvm-10 1605977093.2465534
[trace] GetShare_62452164197 recv flvm-10 1605977093.24702
[trace] SendShare_62452164197 end flvm-10 1605977093.2470715
[trace] SendShare_53472746734 start flvm-11 1605977093.24708
[trace] GetShare_74734339142 recv flvm-12 1605977093.2491324
[trace] GetShare_42111255038 recv flvm-5 1605977093.249724
[trace] GetShare_88026405697 recv flvm-13 1605977093.2500703
[trace] SendShare_53472746734 end flvm-11 1605977093.2502143
[trace] SendShare_19275054908 start flvm-12 1605977093.2502239
[trace] GetShare_96011459224 recv flvm-3 1605977093.2507641
[trace] SendShare_19275054908 end flvm-12 1605977093.2512653
[trace] SendShare_77943293092 start flvm-13 1605977093.251276
[trace] SendShare_77943293092 end flvm-13 1605977093.2526743
[trace] EncryptParameter1 duration flvm-10 0.023584604263305664
[trace] GetShare_42432975688 recv flvm-9 1605977093.254536
[trace] GetShare_16546783391 recv flvm-6 1605977093.2573867
[trace] GetShare_38992563809 recv flvm-8 1605977093.2631552
[trace] GetShare_45360817061 recv flvm-11 1605977093.2634964
[trace] MultiplyParameter1 duration flvm-10 0.06613516807556152
[trace] SendShare_69116481563 start flvm-2 1605977093.33856
[trace] GetShare_43596297537 recv flvm-12 1605977093.3947709
[trace] SendShare_69116481563 end flvm-2 1605977094.157702
[trace] SendShare_12755955788 start flvm-3 1605977094.1577163
[trace] GetShare_4734976838 recv flvm-7 1605977094.3126464
[trace] SendShare_12755955788 end flvm-3 1605977094.4614148
[trace] SendShare_98568705107 start flvm-4 1605977094.4614532
[trace] GetShare_65447407371 recv flvm-9 1605977094.7424152
[trace] SendShare_98568705107 end flvm-4 1605977094.7648265
[trace] SendShare_83570862969 start flvm-5 1605977094.7648478
[trace] GetShare_60527499221 recv flvm-4 1605977094.8653214
[trace] GetShare_82282506516 recv flvm-2 1605977095.0042732
[trace] SendShare_83570862969 end flvm-5 1605977095.0044725
[trace] SendShare_1101640580 start flvm-6 1605977095.0044832
[trace] GetShare_35634248050 recv flvm-8 1605977095.2005997
[trace] GetShare_65869872985 recv flvm-5 1605977095.3050935
[trace] SendShare_1101640580 end flvm-6 1605977095.3052926
[trace] SendShare_54199299078 start flvm-7 1605977095.3053033
[trace] GetShare_98786920657 recv flvm-13 1605977095.4262557
[trace] GetShare_13325645622 recv flvm-6 1605977095.5275495
[trace] SendShare_54199299078 end flvm-7 1605977095.5277557
[trace] SendShare_46709343648 start flvm-8 1605977095.5277667
[trace] GetShare_22037575457 recv flvm-11 1605977095.6435897
[trace] SendShare_46709343648 end flvm-8 1605977095.6437786
[trace] SendShare_22826319978 start flvm-9 1605977095.643789
[trace] GetShare_5873590311 recv flvm-3 1605977095.7455368
[trace] GetShare_87113568456 recv flvm-4 1605977095.7468922
[trace] GetShare_33344746658 recv flvm-7 1605977095.747764
[trace] SendShare_22826319978 end flvm-9 1605977095.852695
[trace] SendShare_77602945068 start flvm-10 1605977095.8527074
[trace] GetShare_77602945068 recv flvm-10 1605977095.854183
[trace] SendShare_77602945068 end flvm-10 1605977095.8542504
[trace] SendShare_10952672909 start flvm-11 1605977095.8542597
[trace] GetShare_61359679954 recv flvm-5 1605977095.8566418
[trace] GetShare_85454399980 recv flvm-13 1605977095.8571286
[trace] GetShare_80546137549 recv flvm-8 1605977095.8580751
[trace] GetShare_77294317399 recv flvm-2 1605977095.8585463
[trace] GetShare_5036760017 recv flvm-12 1605977095.9685686
[trace] GetShare_79365997886 recv flvm-9 1605977095.9690738
[trace] SendShare_10952672909 end flvm-11 1605977095.9767907
[trace] SendShare_75033290744 start flvm-12 1605977095.976803
[trace] SendShare_75033290744 end flvm-12 1605977096.07525
[trace] SendShare_67023246433 start flvm-13 1605977096.075263
[trace] SendShare_67023246433 end flvm-13 1605977096.304623
[trace] EncryptParameter2 duration flvm-10 2.9850142002105713
[trace] GetShare_73434645192 recv flvm-11 1605977096.7611523
[trace] GetShare_23701768722 recv flvm-6 1605977096.7639422
[trace] MultiplyParameter2 duration flvm-10 0.46412086486816406
[trace] SendShare_83714457055 start flvm-2 1605977096.769282
[trace] GetShare_70485512207 recv flvm-12 1605977097.3583558
[trace] SendShare_83714457055 end flvm-2 1605977097.8825974
[trace] SendShare_64631151629 start flvm-3 1605977097.8826408
[trace] SendShare_64631151629 end flvm-3 1605977097.9381728
[trace] SendShare_41659045263 start flvm-4 1605977097.9382105
[trace] SendShare_41659045263 end flvm-4 1605977097.9666734
[trace] SendShare_15086785242 start flvm-5 1605977097.9666862
[trace] SendShare_15086785242 end flvm-5 1605977098.5205717
[trace] SendShare_4179156154 start flvm-6 1605977098.5205853
[trace] SendShare_4179156154 end flvm-6 1605977098.5225794
[trace] SendShare_26207756678 start flvm-7 1605977098.5225916
[trace] SendShare_26207756678 end flvm-7 1605977098.5396793
[trace] SendShare_18432465134 start flvm-8 1605977098.5396917
[trace] SendShare_18432465134 end flvm-8 1605977098.5432355
[trace] SendShare_11243839949 start flvm-9 1605977098.543272
[trace] SendShare_11243839949 end flvm-9 1605977098.5463533
[trace] SendShare_99579157026 start flvm-10 1605977098.5463662
[trace] GetShare_99579157026 recv flvm-10 1605977098.5467086
[trace] SendShare_99579157026 end flvm-10 1605977098.5467608
[trace] SendShare_56485104002 start flvm-11 1605977098.5467684
[trace] SendShare_56485104002 end flvm-11 1605977098.5482924
[trace] SendShare_13793101595 start flvm-12 1605977098.5483253
[trace] SendShare_13793101595 end flvm-12 1605977098.5508041
[trace] SendShare_4427610709 start flvm-13 1605977098.5508409
[trace] SendShare_4427610709 end flvm-13 1605977098.552461
[trace] EncryptParameter3 duration flvm-10 1.7835228443145752
[trace] MultiplyParameter3 duration flvm-10 1.7865986824035645
[trace] SendShare_89143259318 start flvm-2 1605977100.4826357
[trace] GetShare_1228821841 recv flvm-7 1605977101.5006235
[trace] SendShare_89143259318 end flvm-2 1605977102.1965146
[trace] SendShare_3881412314 start flvm-3 1605977102.196534
[trace] GetShare_71319473870 recv flvm-4 1605977103.2896502
[trace] GetShare_90845839806 recv flvm-3 1605977103.2904606
[trace] GetShare_74109320754 recv flvm-5 1605977103.93912
[trace] SendShare_3881412314 end flvm-3 1605977103.939762
[trace] SendShare_14013450090 start flvm-4 1605977103.9397764
[trace] GetShare_21054174332 recv flvm-9 1605977105.1304746
[trace] SendShare_14013450090 end flvm-4 1605977105.1312253
[trace] SendShare_6815953548 start flvm-5 1605977105.131242
[trace] GetShare_29813325803 recv flvm-13 1605977105.7438288
[trace] GetShare_1291673305 recv flvm-8 1605977106.3538177
[trace] SendShare_6815953548 end flvm-5 1605977106.3541746
[trace] SendShare_52924392327 start flvm-6 1605977106.3541882
[trace] SendShare_52924392327 end flvm-6 1605977106.9676301
[trace] SendShare_78586129283 start flvm-7 1605977106.9676733
[trace] GetShare_54574907621 recv flvm-6 1605977107.5810509
[trace] SendShare_78586129283 end flvm-7 1605977107.5814052
[trace] SendShare_11488248560 start flvm-8 1605977107.581418
[trace] GetShare_6927257050 recv flvm-2 1605977108.7450109
[trace] GetShare_68068091097 recv flvm-4 1605977108.7458537
[trace] GetShare_31176989390 recv flvm-7 1605977108.746516
[trace] GetShare_24478885892 recv flvm-11 1605977109.3332303
[trace] SendShare_11488248560 end flvm-8 1605977109.333532
[trace] SendShare_9119681299 start flvm-9 1605977109.3335443
[trace] GetShare_45958122307 recv flvm-5 1605977109.3621392
[trace] GetShare_65038094054 recv flvm-12 1605977110.1570075
[trace] SendShare_9119681299 end flvm-9 1605977110.1585243
[trace] SendShare_30960142091 start flvm-10 1605977110.1585376
[trace] GetShare_30960142091 recv flvm-10 1605977110.1676073
[trace] SendShare_30960142091 end flvm-10 1605977110.167707
[trace] SendShare_76544149738 start flvm-11 1605977110.1677184
[trace] SendShare_76544149738 end flvm-11 1605977110.8068388
[trace] SendShare_14127758776 start flvm-12 1605977110.806857
[trace] GetShare_26391736296 recv flvm-3 1605977112.0052524
[trace] GetShare_23557867316 recv flvm-9 1605977112.0084078
[trace] GetShare_24361899424 recv flvm-13 1605977112.0090947
[trace] GetShare_39001650056 recv flvm-8 1605977112.2369134
[trace] SendShare_14127758776 end flvm-12 1605977112.6385965
[trace] SendShare_13501768860 start flvm-13 1605977112.6386395
[trace] SendShare_13501768860 end flvm-13 1605977113.3807163
[trace] EncryptParameter4 duration flvm-10 13.038959741592407
[trace] GetShare_12201417884 recv flvm-11 1605977113.7947376
[trace] MultiplyParameter4 duration flvm-10 0.900733232498169
[trace] SendShare_75808541460 start flvm-2 1605977114.2822826
[trace] SendShare_75808541460 end flvm-2 1605977114.2860699
[trace] SendShare_16340573110 start flvm-3 1605977114.2860858
[trace] SendShare_16340573110 end flvm-3 1605977114.288468
[trace] SendShare_93790433177 start flvm-4 1605977114.2884808
[trace] SendShare_93790433177 end flvm-4 1605977114.5526536
[trace] SendShare_61784162539 start flvm-5 1605977114.5526958
[trace] GetShare_17723323489 recv flvm-6 1605977114.5820832
[trace] SendShare_61784162539 end flvm-5 1605977114.5901017
[trace] SendShare_11955811053 start flvm-6 1605977114.5901158
[trace] SendShare_11955811053 end flvm-6 1605977114.5916152
[trace] SendShare_94282185053 start flvm-7 1605977114.591628
[trace] SendShare_94282185053 end flvm-7 1605977115.3091507
[trace] SendShare_33434531256 start flvm-8 1605977115.3091664
[trace] SendShare_33434531256 end flvm-8 1605977115.312035
[trace] SendShare_40772698067 start flvm-9 1605977115.3120477
[trace] SendShare_40772698067 end flvm-9 1605977115.3146305
[trace] SendShare_40437578521 start flvm-10 1605977115.314642
[trace] GetShare_40437578521 recv flvm-10 1605977115.3150163
[trace] SendShare_40437578521 end flvm-10 1605977115.3150697
[trace] SendShare_22088305576 start flvm-11 1605977115.3150785
[trace] SendShare_22088305576 end flvm-11 1605977115.3172362
[trace] SendShare_69454070007 start flvm-12 1605977115.3172493
[trace] SendShare_69454070007 end flvm-12 1605977115.3195972
[trace] SendShare_76083735242 start flvm-13 1605977115.3196106
[trace] SendShare_76083735242 end flvm-13 1605977115.5990894
[trace] EncryptParameter5 duration flvm-10 1.3172709941864014
[trace] GetShare_15195711325 recv flvm-12 1605977116.1525586
[trace] MultiplyParameter5 duration flvm-10 0.5538845062255859
[trace] SendShare_4901385179 start flvm-2 1605977116.315927
[trace] GetShare_84811599853 recv flvm-4 1605977118.5166116
[trace] GetShare_65388419857 recv flvm-7 1605977119.3074145
[trace] GetShare_44875087671 recv flvm-2 1605977119.3090324
[trace] SendShare_4901385179 end flvm-2 1605977119.309595
[trace] SendShare_47665532939 start flvm-3 1605977119.3096073
[trace] GetShare_89199427069 recv flvm-5 1605977120.8080587
[trace] SendShare_47665532939 end flvm-3 1605977120.8088377
[trace] SendShare_26871611165 start flvm-4 1605977120.808852
[trace] GetShare_25238761770 recv flvm-9 1605977121.6223266
[trace] SendShare_26871611165 end flvm-4 1605977121.6226745
[trace] SendShare_37921471557 start flvm-5 1605977121.6226873
[trace] GetShare_59883885271 recv flvm-3 1605977121.6422005
[trace] GetShare_74954836444 recv flvm-8 1605977123.1329176
[trace] SendShare_37921471557 end flvm-5 1605977123.1333106
[trace] SendShare_35631385144 start flvm-6 1605977123.1333227
[trace] SendShare_35631385144 end flvm-6 1605977123.9423475
[trace] SendShare_2430560539 start flvm-7 1605977123.9423974
[trace] GetShare_97137202779 recv flvm-13 1605977125.090761
[trace] SendShare_2430560539 end flvm-7 1605977125.0910969
[trace] SendShare_74004902763 start flvm-8 1605977125.0911095
[trace] GetShare_45615627441 recv flvm-6 1605977126.6488755
[trace] SendShare_74004902763 end flvm-8 1605977126.6514168
[trace] SendShare_54131015259 start flvm-9 1605977126.651431
[trace] GetShare_7434946707 recv flvm-11 1605977127.667517
[trace] SendShare_54131015259 end flvm-9 1605977127.667926
