ID: flvm-3
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605991826.5843925
[trace] LossFuncSend recv COORD 1605991826.5957968
[trace] ModelConfigSend recv COORD 1605991826.5968428
[trace] LocalTraining duration flvm-3 43.15621781349182
[trace] SendShare_86982078499 start flvm-2 1605991869.7572877
[trace] GetShare_27718367850 recv flvm-4 1605991869.760659
[trace] GetShare_87240041135 recv flvm-2 1605991869.7625165
[trace] SendShare_86982078499 end flvm-2 1605991869.7666538
[trace] SendShare_16355500087 start flvm-3 1605991869.7666657
[trace] GetShare_16355500087 recv flvm-3 1605991869.76697
[trace] SendShare_16355500087 end flvm-3 1605991869.7670224
[trace] SendShare_438935177 start flvm-4 1605991869.7670305
[trace] SendShare_438935177 end flvm-4 1605991869.7697573
[trace] EncryptParameter0 duration flvm-3 0.013143062591552734
[trace] MultiplyParameter0 duration flvm-3 0.0028924942016601562
[trace] SendShare_3001147149 start flvm-2 1605991869.7729294
[trace] SendShare_3001147149 end flvm-2 1605991869.7738354
[trace] SendShare_94272593130 start flvm-3 1605991869.773848
[trace] GetShare_94272593130 recv flvm-3 1605991869.774102
[trace] SendShare_94272593130 end flvm-3 1605991869.7741497
[trace] SendShare_74922704026 start flvm-4 1605991869.7741575
[trace] SendShare_74922704026 end flvm-4 1605991869.7760983
[trace] EncryptParameter1 duration flvm-3 0.003302335739135742
[trace] GetShare_68657562029 recv flvm-4 1605991869.776619
[trace] GetShare_53216864673 recv flvm-2 1605991869.779017
[trace] MultiplyParameter1 duration flvm-3 0.012475967407226562
[trace] SendShare_34803326631 start flvm-2 1605991869.7936373
[trace] GetShare_13321730829 recv flvm-2 1605991869.8926902
[trace] GetShare_46801374414 recv flvm-4 1605991869.9911587
[trace] SendShare_34803326631 end flvm-2 1605991869.9915543
[trace] SendShare_26251288589 start flvm-3 1605991869.9915667
[trace] GetShare_26251288589 recv flvm-3 1605991869.9933522
[trace] SendShare_26251288589 end flvm-3 1605991869.9934368
[trace] SendShare_64236862254 start flvm-4 1605991869.9934478
[trace] SendShare_64236862254 end flvm-4 1605991870.1932688
[trace] EncryptParameter2 duration flvm-3 0.40337324142456055
[trace] GetShare_43641964817 recv flvm-4 1605991870.198217
[trace] GetShare_77381447508 recv flvm-2 1605991870.1996474
[trace] MultiplyParameter2 duration flvm-3 0.0070002079010009766
[trace] SendShare_32180213460 start flvm-2 1605991870.2012396
[trace] SendShare_32180213460 end flvm-2 1605991870.2032151
[trace] SendShare_10492668857 start flvm-3 1605991870.2032502
[trace] GetShare_10492668857 recv flvm-3 1605991870.2040925
[trace] SendShare_10492668857 end flvm-3 1605991870.2041497
[trace] SendShare_99428669417 start flvm-4 1605991870.2041585
[trace] SendShare_99428669417 end flvm-4 1605991870.2525811
[trace] EncryptParameter3 duration flvm-3 0.05177426338195801
[trace] MultiplyParameter3 duration flvm-3 0.07068347930908203
[trace] SendShare_58436426517 start flvm-2 1605991870.3511002
[trace] GetShare_11836702224 recv flvm-2 1605991870.9541163
[trace] GetShare_53386164865 recv flvm-4 1605991871.5346122
[trace] SendShare_58436426517 end flvm-2 1605991871.545352
[trace] SendShare_1812477559 start flvm-3 1605991871.5453715
[trace] GetShare_1812477559 recv flvm-3 1605991871.558242
[trace] SendShare_1812477559 end flvm-3 1605991871.5584013
[trace] SendShare_42517255685 start flvm-4 1605991871.5584164
[trace] GetShare_78854891879 recv flvm-4 1605991872.1238053
[trace] GetShare_2230659982 recv flvm-2 1605991872.1248956
[trace] SendShare_42517255685 end flvm-4 1605991872.7059753
[trace] EncryptParameter4 duration flvm-3 2.3786518573760986
[trace] MultiplyParameter4 duration flvm-3 0.08318376541137695
[trace] SendShare_60495448651 start flvm-2 1605991872.7904894
